MANDURIA,,,,
,NO2,CO,O3,PM10
20/01/2011 21.00,"32,855617","0,787296","34,175825",
20/01/2011 22.00,"19,788646","0,512572","39,494119",
20/01/2011 23.00,"17,975523","0,55725","39,517817",
21/01/2011 0.00,"9,092892","0,340123","49,398115",
21/01/2011 1.00,"4,175255","0,293612","60,123374",
21/01/2011 2.00,,"0,287941","54,964882",
21/01/2011 3.00,"3,134361",,"47,25794",
21/01/2011 4.00,"4,956573","0,303617",,
21/01/2011 5.00,"7,922211","0,291139","37,1867",
21/01/2011 6.00,"14,212989","0,246797","27,693673",
21/01/2011 7.00,"32,97112","0,630778","12,379314",
21/01/2011 8.00,"49,895377","1,333259","4,65951",
21/01/2011 9.00,"51,317849","1,6979","5,966231",
21/01/2011 10.00,"35,13468","1,086849","7,723198",
21/01/2011 11.00,"28,994447","0,871314","13,899312",
21/01/2011 12.00,"32,192401","0,863123","25,648279",
21/01/2011 13.00,"30,987974","0,658267","38,496817",
21/01/2011 14.00,"41,382639","0,855405","29,960472",
21/01/2011 15.00,"44,511816","0,843225","21,48641",
21/01/2011 16.00,"45,180214","1,018877","15,690127",
21/01/2011 17.00,"42,914131","1,09551","13,346157",
21/01/2011 18.00,"47,103647","1,271377","10,360336",
21/01/2011 19.00,"51,092021","1,367009","10,088159",
21/01/2011 20.00,"45,089357","1,256025","10,067847",
