"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
28/06/2011 5.00,"7,8","6,8","0,9","62,6","3,6","0,2"
28/06/2011 6.00,"17,5","14,1","0,8","55,3",3,"0,3"
28/06/2011 7.00,"12,5","10,1","0,8","65,3","1,4","0,3"
28/06/2011 8.00,"7,6","6,3","0,8","79,1","1,9","0,2"
28/06/2011 9.00,"7,4","5,8","0,7",85,2,"0,3"
28/06/2011 10.00,"6,3","5,1","0,6","89,6","2,6","0,2"
28/06/2011 11.00,"5,5","4,3","0,5","93,8","2,6","0,2"
28/06/2011 12.00,"4,6","4,1","0,5","95,5","2,5","0,2"
28/06/2011 13.00,"5,7","4,9","0,5","98,7","2,4","0,2"
28/06/2011 14.00,"2,6","2,4","0,4","100,9","2,1","0,2"
28/06/2011 15.00,"2,1",2,"0,4","103,7","1,6","0,2"
28/06/2011 16.00,"2,9","2,5","0,4","101,7",2,"0,2"
28/06/2011 17.00,"2,5","2,4","0,4","103,6","1,8","0,2"
28/06/2011 18.00,"4,8","4,5","0,5","103,5","1,4","0,2"
28/06/2011 19.00,"5,7","5,4","0,5",103,"1,6","0,2"
28/06/2011 20.00,"6,1","6,1","0,5","99,7","1,6","0,2"
28/06/2011 21.00,"6,8","6,7","0,5","95,5","1,6","0,2"
28/06/2011 22.00,"9,3","9,2","0,5","90,1","1,7","0,3"
28/06/2011 23.00,"7,4",7,"0,5","90,6",2,"0,2"
29/06/2011 0.00,"3,3","3,2","0,5","96,2","1,8","0,2"
29/06/2011 1.00,"2,2","2,1","0,5","94,6","1,6","0,2"
29/06/2011 2.00,,,"0,5","89,1","2,1","0,2"
29/06/2011 3.00,"4,3","4,2",,"91,3","1,8","0,4"
29/06/2011 4.00,"6,2",6,"0,5","84,4",,"0,2"
29/06/2011 5.00,"20,5","16,8","0,6",,"2,5","0,2"
29/06/2011 6.00,"21,7","19,1","0,6","68,2","1,5","0,5"
29/06/2011 7.00,"16,5","13,8","0,5","75,4","0,7","0,5"
29/06/2011 8.00,"8,1","6,9","0,4","94,2","1,1","0,3"
29/06/2011 9.00,7,"6,4","0,4","100,1",2,"0,2"
29/06/2011 10.00,"5,2",5,"0,4","105,3",2,"0,2"
29/06/2011 11.00,"6,3","5,7","0,4","107,8","1,6","0,3"
29/06/2011 12.00,"6,4","5,8","0,4","113,7","1,3","0,2"
29/06/2011 13.00,"6,4","5,7","0,5","112,2",1,"0,2"
29/06/2011 14.00,"4,7","4,4","0,4","111,8","0,9","0,2"
29/06/2011 15.00,"3,2","3,1","0,4",109,"0,6","0,2"
29/06/2011 16.00,"2,5","2,4","0,4",108,"0,6","0,2"
29/06/2011 17.00,"3,8","3,6","0,4","109,4","0,8","0,2"
29/06/2011 18.00,"6,2","5,7","0,4","110,9","0,5","0,2"
29/06/2011 19.00,"6,8","6,7","0,4","112,3","0,5","0,2"
29/06/2011 20.00,"9,6","9,6","0,5","106,9","0,5","0,2"
29/06/2011 21.00,"15,7","15,6","0,6","100,5","0,3","0,3"
29/06/2011 22.00,"10,7","10,6","0,6","103,2","0,4","0,5"
29/06/2011 23.00,"11,7","11,4","0,6","97,1","0,6","0,3"
30/06/2011 0.00,"15,6","14,8","0,4","88,2","0,7","0,3"
30/06/2011 1.00,"10,1","10,1","0,4","88,8","0,7","0,3"
30/06/2011 2.00,"4,2","4,2","0,3","97,1","0,9","0,3"
30/06/2011 3.00,"9,2","9,1","0,2","92,7","1,7","0,3"
30/06/2011 4.00,"14,7","14,6","0,2","89,4",2,"0,3"
30/06/2011 5.00,"15,7","15,5","0,3","87,2","2,2","0,3"
30/06/2011 6.00,"31,2","28,8","0,4","72,4","1,3","0,5"
30/06/2011 7.00,"38,9","32,1","0,5","68,8","1,4","0,5"
30/06/2011 8.00,"37,6","29,1","0,6","86,9","2,8","0,5"
30/06/2011 9.00,"34,9","25,7","0,5","102,9",5,"0,8"
30/06/2011 10.00,21,"17,2","0,4","116,5","5,6","0,5"
30/06/2011 11.00,"17,1","14,1","0,4","125,6","5,2","0,6"
30/06/2011 12.00,"11,5","10,2","0,3","137,3","4,7","0,4"
30/06/2011 13.00,"14,2","12,1","0,3","129,6","3,4","0,4"
30/06/2011 14.00,"17,9","14,2","0,4","126,3","3,1","0,3"
30/06/2011 15.00,"9,1","7,7","0,6","126,2","3,4","0,3"
30/06/2011 16.00,"13,4","11,7","0,6",119,"3,4","0,4"
30/06/2011 17.00,"19,8","17,4","0,7","118,6","2,8","0,3"
30/06/2011 18.00,"21,9",17,"0,7","112,3","1,8","0,3"
30/06/2011 19.00,"18,9","16,7","0,7","105,6","1,9","0,3"
30/06/2011 20.00,27,22,"0,8","78,9","1,9","0,4"
30/06/2011 21.00,"25,8","22,1","0,8","65,7","2,1","0,7"
30/06/2011 22.00,"14,5",13,"0,8","83,6","2,6","0,4"
30/06/2011 23.00,"6,5","6,3","0,8",76,"2,2","0,3"
01/07/2011 0.00,8,"7,1","0,8","61,1","2,3","0,3"
01/07/2011 1.00,"5,2","4,9","0,8","56,8","2,3","0,3"
01/07/2011 2.00,,,"0,6","70,6","2,6","0,3"
01/07/2011 3.00,"5,3","4,8",,"71,1","2,4","0,4"
01/07/2011 4.00,"3,9","3,6","0,3","76,5",,"0,2"
01/07/2011 5.00,"2,3","2,2","0,3",,"2,6","0,2"
01/07/2011 6.00,"5,1","4,7","0,3","72,2","1,3","0,2"
01/07/2011 7.00,"11,4","9,3","0,3","70,3","0,3","0,2"
01/07/2011 8.00,"9,6","7,5","0,3","81,4","0,2","0,3"
01/07/2011 9.00,"11,4","8,4","0,4","85,5","0,3","0,3"
01/07/2011 10.00,"8,6",7,"0,3","96,1","0,3","0,3"
01/07/2011 11.00,"8,1","6,5","0,3","101,4","0,2","0,3"
01/07/2011 12.00,"6,4","5,5","0,2","107,5","0,3","0,2"
01/07/2011 13.00,"5,6","4,8","0,2","111,6","0,1","0,2"
01/07/2011 14.00,"2,4","2,2","0,2","112,8",0,"0,2"
01/07/2011 15.00,"3,2",3,"0,1",114,"0,1","0,2"
01/07/2011 16.00,3,"2,9","0,1","111,9",0,"0,2"
01/07/2011 17.00,"3,3","3,2","0,1","111,9",0,"0,2"
01/07/2011 18.00,"5,5","5,3","0,1","111,2","0,3","0,2"
01/07/2011 19.00,8,"7,8","0,1","109,2","0,3","0,2"
01/07/2011 20.00,"12,6","12,4","0,1","103,5","0,5","0,2"
01/07/2011 21.00,"15,6","15,2","0,1","91,8","0,5","0,3"
01/07/2011 22.00,"10,3","10,1","0,1","95,7","0,6","0,4"
01/07/2011 23.00,"16,8","16,2","0,1","75,3","0,6","0,3"
02/07/2011 0.00,"10,2","10,1","0,1","80,4","0,5","0,3"
02/07/2011 1.00,"5,7","5,6","0,1","83,5","0,7","0,3"
02/07/2011 2.00,"3,4","3,4","0,2","89,7","0,7","0,3"
02/07/2011 3.00,"3,9","3,8","0,4",77,"0,7","0,2"
02/07/2011 4.00,"8,4","8,2","0,5","61,1","0,9","0,3"
02/07/2011 5.00,"6,9","6,8","0,3","65,2","1,1","0,4"
02/07/2011 6.00,"16,4","15,4","0,4","62,7","1,3","0,3"
02/07/2011 7.00,"14,6","12,7","0,4","70,3","2,1","0,4"
02/07/2011 8.00,"6,9","5,6","0,3","88,3","2,2","0,3"
02/07/2011 9.00,"7,8","6,2","0,4","96,5","2,2","0,2"
02/07/2011 10.00,"8,4","6,8","0,4","105,6","2,2","0,2"
02/07/2011 11.00,"7,3",6,"0,3","110,8","1,8","0,2"
02/07/2011 12.00,"6,7","5,9","0,4","108,5",2,"0,2"
02/07/2011 13.00,"4,8","3,8","0,3",110,"1,8","0,3"
02/07/2011 14.00,"3,4","2,9","0,3","112,9","2,2","0,2"
02/07/2011 15.00,"3,1","2,8","0,1","113,2","1,8","0,2"
02/07/2011 16.00,"2,7","2,6","0,1","107,4","1,8","0,2"
02/07/2011 17.00,"5,2","4,8","0,1","98,9","1,5","0,2"
02/07/2011 18.00,"8,6","7,6","0,2","97,7","2,3","0,2"
02/07/2011 19.00,"19,5",17,"0,2","77,6","3,1","0,4"
02/07/2011 20.00,"33,2","27,6","0,3","61,4","3,1","0,8"
02/07/2011 21.00,"32,9","25,4","0,4","52,9","3,4","0,6"
02/07/2011 22.00,"16,8","12,6","0,2","55,5","3,5","0,4"
02/07/2011 23.00,"6,1",5,"0,2","79,7","4,1","0,3"
03/07/2011 0.00,"1,3","1,3","0,1","89,1",4,"0,2"
03/07/2011 1.00,,,"0,1","91,2","4,1","0,2"
03/07/2011 2.00,,,"0,1","90,8","3,7","0,2"
03/07/2011 3.00,,,,"88,9","3,9","0,2"
03/07/2011 4.00,"1,6","1,6","0,2","84,8",,"0,2"
03/07/2011 5.00,"2,9","2,8","0,2",,"3,6","0,2"
03/07/2011 6.00,"5,2",5,"0,2","78,1","2,5","0,2"
03/07/2011 7.00,"5,4","4,8","0,1","80,8","1,2","0,2"
03/07/2011 8.00,"3,5",3,"0,2","95,5","1,6","0,2"
03/07/2011 9.00,"4,5","4,1","0,1","97,8","1,8","0,2"
03/07/2011 10.00,"3,6","3,3","0,2","101,6","1,6","0,2"
03/07/2011 11.00,"3,1","2,9","0,1","104,4","1,4","0,2"
03/07/2011 12.00,"2,9","2,7","0,2","106,6","1,5","0,2"
03/07/2011 13.00,"2,1","1,7","0,1","110,3","1,5","0,2"
03/07/2011 14.00,,,"0,1",111,"1,7","0,2"
03/07/2011 15.00,,,"0,1","112,6","1,3","0,2"
03/07/2011 16.00,,,"0,1","112,9","1,2","0,2"
03/07/2011 17.00,"1,2","1,2","0,1","115,2","1,3","0,2"
03/07/2011 18.00,"1,4","1,3","0,1","114,2","1,5","0,2"
03/07/2011 19.00,"2,7","2,7","0,1",112,"1,1","0,2"
03/07/2011 20.00,"11,8","11,1","0,1","100,3","1,3","0,2"
03/07/2011 21.00,"17,4","16,3","0,2","89,4","2,2","0,4"
03/07/2011 22.00,"16,6","15,8","0,1",87,"1,8","0,3"
03/07/2011 23.00,"18,6","16,9","0,1","87,4","1,9","0,4"
04/07/2011 0.00,"19,8","18,6","0,1","82,4","2,4","0,3"
04/07/2011 1.00,"11,9","11,3","0,1","82,8","2,5","0,3"
04/07/2011 2.00,"7,5","7,1","0,1","83,1","2,5","0,3"
04/07/2011 3.00,"8,8","8,4","0,2","71,5","2,7","0,3"
04/07/2011 4.00,"20,7","20,1","0,2","64,6","3,1","0,3"
04/07/2011 5.00,"18,9","16,9","0,4","67,4","3,5","0,9"
04/07/2011 6.00,"36,8","31,2","0,4","50,7","2,3","0,7"
04/07/2011 7.00,"45,7","35,3","0,4","50,3",1,"0,6"
04/07/2011 8.00,"26,9","19,3","0,3","65,2","0,6","0,5"
04/07/2011 9.00,"20,5","13,6","0,4","71,3","0,6","0,3"
04/07/2011 10.00,"13,8","10,3","0,3","92,5","0,6","0,3"
04/07/2011 11.00,"16,8","12,4","0,3","103,3","0,7","0,3"
04/07/2011 12.00,"15,3","11,4","0,3","105,9","0,7","0,2"
04/07/2011 13.00,"19,2","14,5","0,2",98,"0,4","0,3"
04/07/2011 14.00,"8,7","7,7","0,2",130,"0,4","0,3"
04/07/2011 15.00,"7,6","6,9","0,3","137,3","0,4","0,3"
04/07/2011 16.00,"9,3","8,2","0,4","110,5","0,2","0,2"
04/07/2011 17.00,"9,7","8,4","0,4",106,0,"0,3"
04/07/2011 18.00,"13,8","12,3","0,3","113,8","1,2","0,2"
04/07/2011 19.00,"23,5","19,6","0,4","103,9","2,4","0,3"
04/07/2011 20.00,"31,2","26,8","0,4","84,4","2,3","0,4"
04/07/2011 21.00,29,"22,9","0,5","59,8","2,6","0,6"
04/07/2011 22.00,"17,5","14,4","0,3","53,8","2,3","0,4"
04/07/2011 23.00,"12,3","10,1","0,3","55,4","2,7","0,3"
05/07/2011 0.00,"6,8","5,7","0,4","59,7","3,4","0,3"
05/07/2011 1.00,"3,1","2,7","0,4","59,5","3,2","0,3"
05/07/2011 2.00,,,"0,3","56,3","3,6","0,3"
05/07/2011 3.00,"3,9","3,6",,"57,6","3,5","0,3"
05/07/2011 4.00,"3,5","3,4","0,3","58,9",,"0,8"
05/07/2011 5.00,"8,6","7,4","0,3",,3,"0,5"
05/07/2011 6.00,18,"14,6","0,2","38,8","1,9","0,4"
05/07/2011 7.00,33,"20,4","0,3","27,3","0,9","0,5"
05/07/2011 8.00,"30,4","19,9","0,5","36,1","0,9","0,5"
05/07/2011 9.00,"66,7","41,3","0,7","46,8","1,2","0,7"
05/07/2011 10.00,"15,2","12,1","0,2","95,2","1,7","0,4"
05/07/2011 11.00,"26,2","19,4","0,3","84,4","1,6","0,3"
05/07/2011 12.00,"18,2","14,7","0,2",104,"1,7","0,4"
05/07/2011 13.00,12,"10,8","0,1","110,2","1,5","0,3"
05/07/2011 14.00,"5,2","4,9",0,"111,5","1,1","0,2"
05/07/2011 15.00,"5,5","5,1",0,111,"0,8","0,2"
05/07/2011 16.00,"5,4",5,0,"97,5","0,7","0,2"
05/07/2011 17.00,"11,2","9,4","0,1","90,1","0,6","0,2"
05/07/2011 18.00,"9,3","8,4",0,"92,2","1,2","0,2"
05/07/2011 19.00,"11,8","10,8",0,"88,1","1,7","0,2"
05/07/2011 20.00,"19,1","16,7",0,"65,7","1,9","0,2"
05/07/2011 21.00,"19,4","17,1",0,"59,5","1,9","0,4"
05/07/2011 22.00,"16,9","15,7",0,"76,3","2,1","0,4"
05/07/2011 23.00,"15,7","14,9","0,1","51,3","2,1","0,4"
06/07/2011 0.00,"8,3","7,7",0,"67,6","2,4","0,3"
06/07/2011 1.00,"4,2","4,1",,"80,2","2,6","0,2"
06/07/2011 2.00,"3,8","3,7",,"75,5","2,1","0,2"
06/07/2011 3.00,"3,4","3,4",,"76,5","2,2","0,2"
06/07/2011 4.00,"7,5","7,4",,"75,2","2,3","0,2"
06/07/2011 5.00,"8,9","8,4",,"69,3","2,3","0,2"
06/07/2011 6.00,"12,4","11,5",,"55,7","1,7","0,3"
06/07/2011 7.00,"13,6","11,1",,"65,9",1,"0,3"
06/07/2011 8.00,8,"6,6",,"85,6","1,1","0,3"
06/07/2011 9.00,"6,5","5,4",,98,"1,5","0,2"
06/07/2011 10.00,5,"4,2",,"104,9","1,2","0,2"
06/07/2011 11.00,"5,4","4,5",,"108,4","1,3","0,2"
06/07/2011 12.00,"4,5","3,9",,"109,9","1,2","0,2"
06/07/2011 13.00,"4,1","3,7",,"108,3","0,9","0,2"
06/07/2011 14.00,"2,8","2,2",,"108,5","1,1","0,2"
06/07/2011 15.00,"1,8","1,6",,"109,6","1,1","0,2"
06/07/2011 16.00,"2,4","2,1",,"108,7","0,9","0,2"
06/07/2011 17.00,"2,6","2,4",,108,"0,9","0,2"
06/07/2011 18.00,"3,3","3,2",,"105,9","0,8","0,2"
06/07/2011 19.00,"5,6","5,3",,"101,5","0,9","0,2"
06/07/2011 20.00,"10,1",10,,"94,6","1,3","0,3"
06/07/2011 21.00,"12,7","12,5",,"92,2","1,3","0,3"
06/07/2011 22.00,"12,4","12,1",,"85,1","1,3","0,4"
06/07/2011 23.00,"8,8","8,6",,"82,6","1,9","0,3"
07/07/2011 0.00,"5,4","5,3",,"88,3","1,5","0,3"
07/07/2011 1.00,"4,8","4,8",,"77,4","1,7","0,2"
07/07/2011 2.00,,,,"58,8","1,7","0,2"
07/07/2011 3.00,"7,6","7,4",,"51,1","2,3","0,3"
07/07/2011 4.00,"16,3","15,8","0,2","48,1",,"0,2"
07/07/2011 5.00,"18,5",16,"0,2",,"2,7","0,3"
07/07/2011 6.00,"36,3","31,5","0,3","44,9","2,7","0,4"
07/07/2011 7.00,"28,6","23,7","0,2","61,5","3,5","0,5"
07/07/2011 8.00,"13,5","11,5","0,2",81,"3,4","0,3"
07/07/2011 9.00,"9,6",8,"0,2","87,6","3,4","0,2"
07/07/2011 10.00,"7,9","6,8","0,2","98,7","3,7","0,2"
07/07/2011 11.00,"7,1","6,3","0,2","106,2","3,4","0,3"
07/07/2011 12.00,"5,7","4,8","0,2","111,6","3,6","0,2"
07/07/2011 13.00,"5,8",5,"0,2","108,5","3,3","0,2"
07/07/2011 14.00,"2,1","1,9","0,1","108,9","2,5",
07/07/2011 15.00,,,,,,
07/07/2011 16.00,"14,2","13,9","0,1",,"0,5",
07/07/2011 17.00,"9,6","9,3","0,1","108,9","0,5","0,2"
07/07/2011 18.00,"8,1","7,6","0,1",110,"1,2","0,3"
07/07/2011 19.00,"8,1",8,"0,1","103,6","1,9","0,2"
07/07/2011 20.00,"15,7","14,8","0,2","88,2","2,1","0,3"
07/07/2011 21.00,"16,5","16,1","0,2","78,9","1,9","0,3"
07/07/2011 22.00,"29,3","28,2","0,3",59,"2,2","0,4"
07/07/2011 23.00,"32,2","29,9","0,3","46,5","3,1","0,5"
08/07/2011 0.00,36,"32,1","0,2","36,9","3,6","0,5"
08/07/2011 1.00,"13,6",13,"0,2","56,5","4,6","0,4"
08/07/2011 2.00,"10,5","10,1","0,3","63,7","5,6","0,4"
08/07/2011 3.00,"8,2","7,9","0,6","83,5","7,9","0,3"
08/07/2011 4.00,"28,5","27,7","0,7",62,"8,7","0,3"
08/07/2011 5.00,"25,9","24,3","0,7","64,5","9,7","0,9"
08/07/2011 6.00,53,"47,2",1,"49,3","7,7","2,5"
08/07/2011 7.00,"57,5","47,2","0,7",56,"5,9","0,9"
08/07/2011 8.00,52,"40,1","0,9","64,2","5,9","0,7"
08/07/2011 9.00,"39,1","30,6","0,7","94,3","5,8","0,6"
08/07/2011 10.00,22,18,"0,6","112,5","5,1","0,6"
08/07/2011 11.00,"12,4","10,1","0,5","125,9","4,1","0,3"
08/07/2011 12.00,"12,4","10,1","0,5","128,3","3,2","0,2"
08/07/2011 13.00,"7,5","6,3","0,4","127,3",3,"0,2"
08/07/2011 14.00,"9,4","8,2","0,6","129,8","2,4","0,2"
08/07/2011 15.00,"11,1","9,3","1,1","128,3","2,3","0,2"
08/07/2011 16.00,"9,5","8,1","0,9","128,9","2,1","0,3"
08/07/2011 17.00,"12,3","10,7",1,"128,8","2,4","0,2"
08/07/2011 18.00,20,"17,2","0,9","124,5","2,5","0,4"
08/07/2011 19.00,"20,5","17,9","0,9","108,4",4,"0,3"
08/07/2011 20.00,"24,3","22,3",1,"84,6","4,4","0,2"
08/07/2011 21.00,"41,5","36,7","1,2","76,2","3,4","0,4"
08/07/2011 22.00,"37,2","34,2","1,2","69,8","3,3","0,6"
08/07/2011 23.00,"30,5","28,9","1,1","78,2","3,9","0,5"
09/07/2011 0.00,"30,8","28,6","1,1","74,1","4,1","0,7"
09/07/2011 1.00,"24,9","23,6","1,2","71,1","4,8","0,5"
09/07/2011 2.00,,,"0,7","76,5","6,1","0,5"
09/07/2011 3.00,"21,9","21,6",,"70,6","6,5","0,4"
09/07/2011 4.00,"50,5","46,5","0,3",35,,"0,5"
09/07/2011 5.00,"55,1","52,2","0,6",,"6,4","0,7"
09/07/2011 6.00,"70,6","62,1","0,5","37,2","7,4","0,8"
09/07/2011 7.00,"110,4","82,7",1,"29,9","20,2","0,8"
09/07/2011 8.00,"99,3",73,"0,9","49,6","46,5","1,3"
09/07/2011 9.00,"37,3","30,7","0,3","100,6","26,3","1,2"
09/07/2011 10.00,"16,9","14,1","0,2","111,8","15,3","0,3"
09/07/2011 11.00,"13,6","11,2","0,1","120,6","10,9","0,3"
09/07/2011 12.00,"14,1","11,2","0,2","122,9","7,7","0,2"
09/07/2011 13.00,"10,2","8,3","0,1",119,"6,1","0,2"
09/07/2011 14.00,"8,2","7,6","0,3",136,"5,7","0,2"
09/07/2011 15.00,"7,8","7,1","0,5","149,1",6,"0,2"
09/07/2011 16.00,"5,3",5,"0,4","132,1","4,7","0,2"
09/07/2011 17.00,"6,4","5,8","0,6","119,4","2,8","0,2"
09/07/2011 18.00,"12,2","11,3","0,6","119,3","3,5","0,2"
09/07/2011 19.00,"18,3","16,6","0,6",111,"5,3","0,3"
09/07/2011 20.00,"26,3",25,"0,7","92,4",5,"0,5"
09/07/2011 21.00,"50,7","45,3","0,8","63,8","5,5","0,7"
09/07/2011 22.00,"34,8","32,6","0,5","71,4","6,2","0,6"
09/07/2011 23.00,"33,5","32,2","0,5",68,"6,1","0,4"
10/07/2011 0.00,"34,9","33,7","0,5","73,4","7,3","0,4"
10/07/2011 1.00,"25,6","24,7","0,5","71,9","7,6","0,4"
10/07/2011 2.00,"26,5","25,9","0,6","59,7",9,"0,3"
10/07/2011 3.00,"34,5","33,5",1,"42,9","14,4","0,4"
10/07/2011 4.00,"36,6","35,4",1,"31,7","11,6","0,5"
10/07/2011 5.00,23,"22,4",1,63,12,"0,5"
10/07/2011 6.00,25,"23,6","0,9","61,1","8,9","0,4"
10/07/2011 7.00,"38,2","33,3","1,1","61,5","9,9","0,4"
10/07/2011 8.00,"28,7","24,2","0,8","91,5",11,"0,6"
10/07/2011 9.00,"7,1","6,5","0,6",126,"8,1","0,3"
10/07/2011 10.00,"6,9",6,"0,7","125,3","6,4","0,3"
10/07/2011 11.00,"6,8",6,"0,8","120,8","3,7","0,2"
10/07/2011 12.00,"5,8","5,3","0,7","125,6","2,6","0,3"
10/07/2011 13.00,"3,7","3,4","0,6","125,3","2,3","0,2"
10/07/2011 14.00,"2,4",2,"0,4","127,9","1,4","0,2"
10/07/2011 15.00,"1,9","1,8","0,3","128,5","0,8","0,2"
10/07/2011 16.00,"1,7","1,6","0,2","130,8","0,9","0,2"
10/07/2011 17.00,"1,9","1,8","0,2","124,1","0,4","0,2"
10/07/2011 18.00,"2,2","2,2","0,2","121,5","2,5","0,2"
10/07/2011 19.00,"4,2",4,"0,2","118,3","4,9","0,2"
10/07/2011 20.00,16,"15,3","0,2",100,"4,5","0,2"
10/07/2011 21.00,28,"26,6","0,3","87,4","5,3","0,3"
10/07/2011 22.00,"32,9","31,6","0,4","70,7","5,5","0,4"
10/07/2011 23.00,"31,1","28,7","0,4","68,6","6,5","0,4"
11/07/2011 0.00,27,"25,6","0,4",70,"6,6","0,5"
11/07/2011 1.00,"19,2","18,8","0,3","67,8","6,4","0,4"
11/07/2011 2.00,,,"0,4","69,6","6,9","0,4"
11/07/2011 3.00,"24,6","23,8",,"62,5","8,2","4,8"
11/07/2011 4.00,"23,8","23,1","0,4","59,5",,"0,7"
11/07/2011 5.00,"24,8","24,1","0,4",,"18,7","0,4"
11/07/2011 6.00,"39,3","35,3","0,4","38,7","9,2","0,5"
11/07/2011 7.00,"22,7","20,6","0,3","83,8","1,7","0,4"
11/07/2011 8.00,"14,9","13,4","0,4","98,9","1,4","0,3"
11/07/2011 9.00,"12,7","11,4","0,4",114,"0,4","0,3"
11/07/2011 10.00,"9,6","8,9","0,4","129,7","0,1","0,3"
11/07/2011 11.00,"8,4","7,8","0,4","141,2",0,"0,3"
11/07/2011 12.00,"7,3","6,9","0,3","140,8",0,"0,3"
11/07/2011 13.00,"7,5","6,8","0,3","133,6",0,"0,5"
11/07/2011 14.00,"3,9","3,7","0,3","128,6",0,"0,2"
11/07/2011 15.00,3,"2,9","0,3","127,2",0,"0,2"
11/07/2011 16.00,"2,8","2,7","0,2","124,8",0,"0,2"
11/07/2011 17.00,"4,3","4,1","0,2","119,7",0,"0,2"
11/07/2011 18.00,"6,1","5,8","0,3","115,3","2,1","0,2"
11/07/2011 19.00,"9,6","9,4","0,2","112,3","4,3","0,2"
11/07/2011 20.00,"15,3","14,9","0,2","103,4","4,8","0,2"
11/07/2011 21.00,20,"19,3","0,3","93,9","4,9","0,3"
11/07/2011 22.00,"17,7","16,9","0,3","87,6","4,5","0,3"
11/07/2011 23.00,"15,3","15,1","0,3",77,5,"0,4"
12/07/2011 0.00,"13,6","13,3","0,2","89,3","5,4","0,4"
12/07/2011 1.00,10,"9,8","0,2","91,9","5,5","0,3"
12/07/2011 2.00,"10,6","10,4","0,2","79,1","5,5","0,2"
12/07/2011 3.00,"6,8","6,7","0,3","86,5","5,4","0,3"
12/07/2011 4.00,8,"7,9","0,3","91,2","5,4","0,2"
12/07/2011 5.00,"9,2","9,1","0,3","89,2","5,7","0,2"
12/07/2011 6.00,"16,8","16,4","0,3","82,8","4,4","0,2"
12/07/2011 7.00,"16,7","15,4","0,3","89,8","3,7","0,3"
12/07/2011 8.00,"11,8","10,5","0,4","104,7","3,3","0,2"
12/07/2011 9.00,"8,2","7,2","0,3","111,1","3,5","0,2"
12/07/2011 10.00,"8,5","7,5","0,4","109,4","3,7","0,2"
12/07/2011 11.00,"7,9",7,"0,4","110,2","3,8","0,2"
12/07/2011 12.00,"6,5",6,"0,4","107,9","3,4","0,2"
12/07/2011 13.00,"6,7","6,1","0,4","107,1","3,1","0,2"
12/07/2011 14.00,"3,5","3,2","0,4","111,6","2,9","0,2"
12/07/2011 15.00,"3,2","2,9","0,4","112,2","2,7","0,2"
12/07/2011 16.00,"3,7","3,5","0,4","113,3","2,4","0,2"
12/07/2011 17.00,"4,5","4,3","0,4",114,"2,9","0,2"
12/07/2011 18.00,"6,7","6,3","0,4","106,1","2,8","0,2"
12/07/2011 19.00,"8,4",8,"0,4","101,9","2,8","0,2"
12/07/2011 20.00,"12,7","12,1","0,4","94,1","2,7","0,3"
12/07/2011 21.00,"15,1","14,9","0,5",82,"3,1","0,2"
12/07/2011 22.00,"11,5","11,3","0,5","86,3","2,9","0,3"
12/07/2011 23.00,"8,2",8,"0,5","90,7",3,"0,2"
13/07/2011 0.00,"6,1",6,"0,3","92,9","3,1","0,2"
13/07/2011 1.00,"4,9","4,8","0,4",92,"3,3","0,2"
13/07/2011 2.00,,,"0,4","85,1","3,5","0,2"
13/07/2011 3.00,"8,2","8,1",,"97,5","3,7","0,3"
13/07/2011 4.00,"12,5","12,2","0,1","94,3",,"0,2"
13/07/2011 5.00,"9,7","9,6","0,1",,"3,7","0,3"
13/07/2011 6.00,"13,2","12,7","0,1","100,7","4,2","0,2"
13/07/2011 7.00,16,"14,8","0,1","96,6","4,6","0,2"
13/07/2011 8.00,"11,3","10,2","0,1","101,5","4,9","0,2"
13/07/2011 9.00,9,"8,1","0,1",108,"4,7","0,3"
13/07/2011 10.00,9,"8,2","0,1","112,4","4,4","0,2"
13/07/2011 11.00,"7,1","6,3","0,1","113,1","4,7","0,2"
13/07/2011 12.00,"6,8","6,2","0,1","117,2","4,6","0,2"
13/07/2011 13.00,"10,1","8,7","0,1","114,7",4,"0,2"
13/07/2011 14.00,"5,7","5,2","0,1","115,4","3,5","0,2"
13/07/2011 15.00,"6,1","5,6","0,2","115,2","3,7","0,2"
13/07/2011 16.00,"4,4","3,7","0,1","114,3","3,5","0,2"
13/07/2011 17.00,"8,9",8,"0,2","116,5","3,8","0,2"
13/07/2011 18.00,"13,7","12,4","0,1","122,7","4,6","0,3"
13/07/2011 19.00,"20,7","18,6","0,3","105,8","5,5","0,4"
13/07/2011 20.00,"44,7","39,2","0,5","72,3","5,7","0,6"
13/07/2011 21.00,"40,2","33,4","0,5","86,1","6,4","0,5"
13/07/2011 22.00,"31,8",29,"0,4","77,7","6,5","0,4"
13/07/2011 23.00,"21,8","20,1","0,3","86,3","6,6","0,4"
14/07/2011 0.00,"18,6","17,2","0,3","86,3","7,5","0,3"
14/07/2011 1.00,"20,9","19,7","0,3","86,4","8,5","0,3"
14/07/2011 2.00,"24,9","23,8","0,3","78,5","9,6","0,5"
14/07/2011 3.00,"32,4","30,8","0,4","70,4","11,1","0,6"
14/07/2011 4.00,"37,7","35,1","0,7",57,"13,3","1,1"
14/07/2011 5.00,27,"24,9","0,3","77,2","15,4","1,1"
14/07/2011 6.00,"30,1","26,2","0,4","58,2","9,6","0,4"
14/07/2011 7.00,"26,1","20,5","0,5","43,9","0,6","0,7"
