,Provincia di Lecce,,,,,,
,Campi Salentina,,,,,,
Parm,NOX,NO2,PM10,PM2.5,CO,O3,BENZENE



10/01/2010 21.00,"21,85888264","18,39814161","23,88278008","12,11233044","0,35163894","33,92248125","2,5217888"
10/01/2010 22.00,"19,23898376","17,40608511","23,88278008","12,11233044","0,32153651","39,7759908","1,91171084"
10/01/2010 23.00,"12,144546","11,16493854","23,88278008","12,11233044","0,2162042","46,2925785","1,59516552"
11/01/2010 0.00,"13,59553794","11,981787","23,88278008","12,11233044","0,2367315","39,5563812","1,14947035"
11/01/2010 1.00,"11,48876442","9,9968595",,,"0,20779639","28,4836923","1,18107058"
11/01/2010 2.00,"10,50549547","9,90519822",,,"0,21834197","24,96652725","1,1378552"
11/01/2010 3.00,"10,69679872","9,71213975",,,"0,22632339","36,7208478","1,32756129"
11/01/2010 4.00,"9,70947634","8,62030554",,,"0,23871666","30,5075001","1,34407737"
11/01/2010 5.00,"11,31205164","9,36495879",,,"0,21170613","15,46660857","1,22764409"
11/01/2010 6.00,"8,47816172","7,06204657",,,"0,19570719","15,32808974","1,25285756"
11/01/2010 7.00,"18,7753295","12,53663028",,,"0,21669583","21,7145775","1,12965207"
11/01/2010 8.00,"33,51542888","14,3974556",,,"0,25516529","11,48910126","1,15354445"
11/01/2010 9.00,"53,71987704","20,95249904",,,"0,44258816","8,41368507","1,56048378"
11/01/2010 10.00,"35,10908088","19,5735264",,,"0,32292752","22,57105095","1,78366138"
11/01/2010 11.00,"22,5722116","16,19419833",,,"0,19918704","49,7970753","1,62929807"
