,Comune Lecce,,,,,
,SAN PIETRO IN LAMA,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



12/01/2010 3.00,"39,4760124","36,823208",,,"2,46817154","27,8707086"
12/01/2010 4.00,"17,28348385","16,09879718","20,02441978","0,39697608","0,97317137","48,15090105"
12/01/2010 5.00,"11,84397195","10,97740002",,"0,33180948","0,32446368","56,0946519"
12/01/2010 6.00,"19,8320288","18,74906053","13,67521","0,41183566","0,00154177","44,8718991"
12/01/2010 7.00,"34,80170776","31,43964696",,"0,47924489",,"32,7655209"
12/01/2010 8.00,"73,29072664","56,63523728","14,65200996","0,5695021","0,2874581","14,6207984"
12/01/2010 9.00,"109,2636109","66,6210588",,"0,75186188","0,45442509","12,78034307"
12/01/2010 10.00,"95,23293424","63,4036408","12,21000957","0,65517037","1,11502761","18,05135451"
12/01/2010 11.00,"49,97113336","33,60969048",,"0,61337483","1,05555345","44,1519834"
12/01/2010 12.00,"38,203672","26,85295016","4,88400507","0,53155805","0,70047197","50,4379491"
12/01/2010 13.00,"38,15439976","25,78999288",,"0,53635435","0,53504573","56,3341716"
12/01/2010 14.00,"51,48467256","33,30988888","10,7448101","0,61881189","0,42645047","51,96849315"
12/01/2010 15.00,"53,31212392","38,1094104",,"0,61435576","0,3180759","50,2809825"
12/01/2010 16.00,"43,7261972","31,73944856","8,30280876","0,68273078","0,37975289","56,30035635"
12/01/2010 17.00,"61,87732944","45,27235512",,"0,75341016","0,95863335","44,1235746"
12/01/2010 18.00,"73,22069008","56,95452216","23,93161964","0,8011705","1,20181534","27,33347505"
12/01/2010 19.00,"78,38135016","60,6054288",,"1,01056178","2,01550789","20,3221473"
12/01/2010 20.00,"57,64920912","45,7201264","18,07081032","0,88487342","2,57566539","25,8773445"
12/01/2010 21.00,"59,82164264","45,32298488",,"0,9550239","1,73421789","31,88047905"
12/01/2010 22.00,"53,77775328","44,34308488","26,86202049","0,91402172","1,32847354","36,13381905"
12/01/2010 23.00,"42,75864872","36,77389752",,"0,92293164","2,03907686","35,7670782"
13/01/2010 0.00,"24,34809632","21,9288236","28,32722092","0,88796999","0,69540528","38,42898675"
13/01/2010 1.00,"19,92931136","18,44795303",,"0,88117338","0,94034973","34,9267044"
