NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
16/10/2009 1.00,"1,3","1,8","1,8","0,0","71,2","13,4","0,1"
16/10/2009 2.00,"1,0","2,4","2,5","0,0","68,8","13,4","0,4"
16/10/2009 3.00,"0,9","2,5","2,6","0,0","70,3","13,4","0,5"
16/10/2009 4.00,"0,9","3,3","3,3","0,0","65,4","13,4","0,5"
16/10/2009 5.00,"0,9","5,1","5,2","0,0","59,8","13,4","0,3"
16/10/2009 6.00,"0,9","3,7","3,8","0,0","66,7","13,4","0,4"
16/10/2009 7.00,"0,9","3,2","3,3","0,0","75,7","13,4","0,4"
16/10/2009 8.00,"0,9","3,0","3,2","0,0",,"13,4","0,3"
16/10/2009 9.00,"0,9","2,8","3,0","0,0","73,1","13,4","0,3"
16/10/2009 10.00,"2,0","3,0","3,3","0,1","78,1","13,4","0,3"
16/10/2009 11.00,"2,4","4,3","4,9","0,4","80,0","13,4","0,6"
16/10/2009 12.00,"2,6","4,4","4,9","0,5","85,5","13,4","0,5"
16/10/2009 13.00,"1,9","3,6","3,7","0,5","88,0","13,4","0,7"
16/10/2009 14.00,"1,8","2,4","2,6","0,5","87,2","13,4","0,6"
16/10/2009 15.00,"1,9","1,9","1,9","0,4","87,8","13,4","0,4"
16/10/2009 16.00,"2,3","2,3","2,3","0,4","88,9","13,4","0,4"
16/10/2009 17.00,"2,2","2,7","2,8","0,5","87,6","13,4","0,4"
16/10/2009 18.00,"1,5","4,0","4,0","0,4","85,5","13,4","0,5"
16/10/2009 19.00,"1,6","5,8","5,9","0,3","82,4","13,4","0,7"
16/10/2009 20.00,"1,4","5,7","5,8","0,1","79,9","13,4","0,8"
16/10/2009 21.00,"1,3","8,3","8,6","0,1","68,1","13,4","0,3"
16/10/2009 22.00,"2,1","12,6","12,9","0,0","55,7","13,4","0,7"
16/10/2009 23.00,"2,2","9,2","9,5","0,0","55,2","13,4","0,8"
17/10/2009 0.00,"2,1","8,0","8,1","0,0","49,2","13,4","0,8"
17/10/2009 1.00,,"7,6","7,9","0,0","53,7","14,4","0,8"
17/10/2009 2.00,"1,7",,,"0,0","53,0","14,4","0,4"
17/10/2009 3.00,"2,2","20,7","21,1",,"54,4","14,4","0,6"
17/10/2009 4.00,"1,6","9,0","9,1","0,3",,"14,4","0,7"
17/10/2009 5.00,"1,6","6,6","6,8","0,4","47,5","14,4","0,7"
17/10/2009 6.00,"1,3","6,7","6,9","0,4","46,1","14,4","0,7"
17/10/2009 7.00,"1,5","11,9","12,8","0,4","40,0","14,4","0,5"
17/10/2009 8.00,"1,1","16,9","20,1","0,4","43,9","14,4","0,5"
17/10/2009 9.00,"2,1","8,8","10,3","0,6","71,6","14,4","1,9"
17/10/2009 10.00,"2,5","3,7","4,0","0,9","87,9","14,4","0,6"
17/10/2009 11.00,"2,6","4,5","4,9","1,1","92,8","14,4","0,4"
17/10/2009 12.00,"3,0","5,5","6,1","1,2","97,7","14,4","0,5"
17/10/2009 13.00,"3,1","5,2","5,5","1,2","100,8","14,4","0,3"
17/10/2009 14.00,"2,6","3,5","3,5","1,0","102,0","14,4","0,5"
17/10/2009 15.00,"2,0","3,6","3,6","1,1","100,4","14,4","0,4"
17/10/2009 16.00,"1,9","5,6","5,8","1,1","94,4","14,4","0,4"
17/10/2009 17.00,"1,5","6,2","6,4","1,1","93,3","14,4","0,5"
17/10/2009 18.00,"1,1","4,7","4,9","1,0","86,3","14,4","0,5"
17/10/2009 19.00,"1,2","6,6","6,8","0,9","71,3","14,4","0,6"
17/10/2009 20.00,"1,2","12,3","13,1","0,9","41,6","14,4","0,6"
17/10/2009 21.00,"1,2","7,3","8,2","0,9","43,1","14,4","3,0"
17/10/2009 22.00,"1,1","6,5","7,0","0,9","63,8","14,4","2,6"
17/10/2009 23.00,"1,0","5,8","6,2","0,9","55,9","14,4","0,4"
18/10/2009 0.00,"0,9","6,7","6,8","0,8","52,7","14,4","0,7"
18/10/2009 1.00,"1,0","3,9","4,0","0,7","51,0","6,8","0,8"
18/10/2009 2.00,"0,9","3,9","4,1","0,6","43,6","6,8","0,3"
18/10/2009 3.00,"0,9","2,1","2,4","0,6","53,4","6,8","0,6"
18/10/2009 4.00,"0,7","1,3","1,3","0,5","76,6","6,8","1,2"
18/10/2009 5.00,"0,5","0,8","0,8","0,4","86,6","6,8","0,4"
18/10/2009 6.00,"0,5","1,2","1,2","0,4","73,3","6,8","0,3"
18/10/2009 7.00,"0,4","3,0","3,2","0,4","75,9","6,8","0,4"
18/10/2009 8.00,"0,5","1,2","1,3","0,4","83,0","6,8","0,6"
18/10/2009 9.00,"0,6","0,8","0,9","0,4","79,4","6,8","0,5"
18/10/2009 10.00,"0,4","1,7","1,8","0,5","85,4","6,8","0,3"
18/10/2009 11.00,"0,5","2,0","2,0","0,7","90,3","6,8","0,4"
18/10/2009 12.00,"0,7","2,4","2,4","0,8","95,7","6,8","0,4"
18/10/2009 13.00,"0,9","1,5","1,6","0,7","98,2","6,8","0,4"
18/10/2009 14.00,"0,9","1,3","1,5","0,8","98,2","6,8","0,4"
18/10/2009 15.00,"0,7","1,3","1,3","0,8","97,3","6,8","0,3"
18/10/2009 16.00,"1,0","2,7","2,7","0,9","97,6","6,8","0,3"
18/10/2009 17.00,"1,0","7,0","7,1","0,9","84,9","6,8","0,4"
18/10/2009 18.00,"0,9","7,6","8,1","0,8","66,2","6,8","0,7"
18/10/2009 19.00,"0,6","5,4","5,6","0,8","69,9","6,8","0,7"
18/10/2009 20.00,"0,6","4,4","4,6","0,7","68,1","6,8","0,6"
18/10/2009 21.00,"0,8","4,8","4,9","0,4","61,1","6,8","0,6"
18/10/2009 22.00,"0,5","5,0","5,1","0,3","40,9","6,8","0,6"
18/10/2009 23.00,"0,5","4,5","4,6","0,3","56,7","6,8","0,7"
19/10/2009 0.00,"0,5","2,9","3,0","0,3","65,7","6,8","0,7"
19/10/2009 1.00,,"3,0","3,0","0,4","62,7","14,4","0,3"
19/10/2009 2.00,"0,4",,,"0,5","63,9","14,4","0,7"
19/10/2009 3.00,"0,4","16,5","16,5",,"64,6","14,4","0,7"
19/10/2009 4.00,"0,6","5,6","5,7","0,2",,"14,4","0,8"
19/10/2009 5.00,"0,5","4,2","4,3","0,3","57,2","14,4","0,7"
19/10/2009 6.00,"0,6","5,0","5,2","0,3","53,3","14,4","0,6"
19/10/2009 7.00,"0,7","6,9","7,2","0,3","48,7","14,4","0,7"
19/10/2009 8.00,"0,7","9,4","10,7","0,3","43,5","14,4","0,8"
19/10/2009 9.00,"0,5","5,9","7,1","0,5","52,9","14,4","0,8"
19/10/2009 10.00,"0,7","5,1","6,0","0,7","55,8","14,4","0,8"
19/10/2009 11.00,"1,0","4,9","5,7","0,8","57,7","14,4","0,4"
19/10/2009 12.00,"1,7","4,5","5,2","0,9","62,1","14,4","0,8"
19/10/2009 13.00,"5,6","3,2","3,4","0,9","69,4","14,4","0,8"
19/10/2009 14.00,"8,6","3,6","4,1","0,9","70,5","14,4","0,6"
19/10/2009 15.00,"6,4","5,0","5,7","0,9","66,9","14,4","0,6"
19/10/2009 16.00,"4,6","8,8","9,6","0,9","60,6","14,4","0,7"
19/10/2009 17.00,"3,4","7,7","8,4","0,8","57,6","14,4","0,7"
19/10/2009 18.00,"2,4","10,0","10,5","0,7","47,1","14,4","0,8"
19/10/2009 19.00,"1,4","12,1","12,4","0,8","49,7","14,4","0,8"
19/10/2009 20.00,"0,7","8,3","8,5","0,8","55,8","14,4","1,1"
19/10/2009 21.00,"0,9","8,2","8,3","0,6","53,6","14,4","0,9"
19/10/2009 22.00,"0,8","7,5","7,6","0,5","54,7","14,4","0,8"
19/10/2009 23.00,"0,6","6,9","6,9","0,5","55,1","14,4","0,8"
20/10/2009 0.00,"0,7","6,7","6,8","0,5","53,4","14,4","0,4"
20/10/2009 1.00,"0,6","5,4","5,5","0,5","52,4","17,6","0,8"
20/10/2009 2.00,"0,6","3,9","3,9","0,4","50,5","17,6","0,8"
20/10/2009 3.00,"0,7","3,6","3,7","0,4","48,6","17,6","0,8"
20/10/2009 4.00,"0,7","3,3","3,5","0,6","48,5","17,6","0,9"
20/10/2009 5.00,"0,6","3,6","3,7","0,6","52,0","17,6","0,8"
20/10/2009 6.00,"0,6","5,8","5,8","0,5","45,9","17,6","0,7"
20/10/2009 7.00,"0,7","12,9","13,6","0,6","38,2","17,6","0,7"
20/10/2009 8.00,"0,7","15,2","17,7","0,6","42,0","17,6","1,2"
20/10/2009 9.00,"0,9","17,0","20,5","0,8","43,6","17,6","1,5"
20/10/2009 10.00,"1,1","6,4","7,7","0,9","61,4","17,6","1,1"
20/10/2009 11.00,"1,8","5,3","6,0","1,0","64,5","17,6","1,0"
20/10/2009 12.00,"2,4","5,0","5,8","0,9","70,0","17,6","0,9"
20/10/2009 13.00,"2,6","6,1","6,6","0,8","76,1","17,6","0,9"
20/10/2009 14.00,"1,9","4,2","4,4","0,9","79,9","17,6","1,1"
20/10/2009 15.00,"1,8","3,2","3,4","0,9","82,5","17,6","0,8"
20/10/2009 16.00,"2,0","2,3","2,3","0,9","82,4","17,6","0,7"
20/10/2009 17.00,"1,5","2,1","2,1","0,9","76,0","17,6","0,7"
20/10/2009 18.00,"1,3","13,0","13,6","0,9","37,2","17,6","0,6"
20/10/2009 19.00,"0,7","12,4","13,3","0,7","26,5","17,6","1,1"
20/10/2009 20.00,"0,9","9,3","9,8","0,6","19,2","17,6","0,5"
20/10/2009 21.00,"0,8","19,2","20,0","0,5","13,0","17,6","1,0"
20/10/2009 22.00,"0,8","45,3","63,0","0,7","2,9","17,6","1,7"
20/10/2009 23.00,"1,0","49,3","115,1","0,8","0,9","17,6","2,7"
21/10/2009 0.00,"0,8","45,3","90,6","0,8","0,6","17,6","3,1"
21/10/2009 1.00,,"41,1","48,3","0,7","1,3","16,5","3,1"
21/10/2009 2.00,"0,7",,,"0,8","10,2","16,5","2,6"
21/10/2009 3.00,"0,6","29,0","30,0",,"21,6","16,5","2,1"
21/10/2009 4.00,"0,5","19,5","20,1","0,3",,"16,5","1,6"
21/10/2009 5.00,"0,6","13,4","14,1","0,5","24,8","16,5","1,5"
21/10/2009 6.00,"0,6","10,7","11,4","0,3","20,5","16,5","1,0"
21/10/2009 7.00,"0,5","25,0","29,9","0,2","8,4","16,5","1,0"
21/10/2009 8.00,"0,6","22,5","28,0","0,2","28,4","16,5","0,6"
21/10/2009 9.00,"0,7","22,5","29,2","0,5","34,6","16,5","1,5"
21/10/2009 10.00,"0,7","13,2","15,9","0,7","64,9","16,5","1,7"
21/10/2009 11.00,"0,7","7,8","8,8","0,7","77,6","16,5","0,4"
21/10/2009 12.00,"1,3","4,7","5,2","0,9","92,5","16,5","0,7"
21/10/2009 13.00,"1,0","2,8","2,9","0,9","96,9","16,5","0,6"
21/10/2009 14.00,"0,9","2,3","2,4","0,9","97,5","16,5","0,5"
21/10/2009 15.00,"1,0","2,5","2,5","1,0","94,0","16,5","0,0"
21/10/2009 16.00,"0,7","3,2","3,2","0,8","89,9","16,5","0,2"
21/10/2009 17.00,"0,8","4,6","4,8","0,9","85,1","16,5","0,4"
21/10/2009 18.00,"0,7","3,6","3,8","0,8","80,6","16,5","0,5"
21/10/2009 19.00,"0,7","2,5","2,5","0,8","79,9","16,5","0,5"
21/10/2009 20.00,"0,3","4,1","4,3","0,7","71,3","16,5","0,2"
21/10/2009 21.00,"0,5","3,4","3,5","0,7","71,9","16,5","0,6"
21/10/2009 22.00,"0,3","1,6","1,7","0,7","82,4","16,5","0,6"
21/10/2009 23.00,"0,3","0,8","0,8","0,7","88,5","16,5","0,3"
22/10/2009 0.00,"0,3","1,0","1,0","0,7","88,8","16,5","0,3"
22/10/2009 1.00,"0,3",,,"0,7","90,5","14,9","0,3"
22/10/2009 2.00,"0,3",,,"0,7","91,8","14,9","0,1"
22/10/2009 3.00,"0,3",,,"0,7","92,0","14,9","0,1"
22/10/2009 4.00,"0,2",,,"0,7","90,2","14,9","0,0"
22/10/2009 5.00,"0,2",,,"0,7","83,3","14,9","0,0"
22/10/2009 6.00,"0,2",,,"0,7","80,8","14,9","0,0"
22/10/2009 7.00,"0,1","1,6","1,6","0,8","82,7","14,9","0,1"
22/10/2009 8.00,"0,1","4,3","4,5","0,8","83,2","14,9","0,1"
22/10/2009 9.00,"0,2","5,2","5,8","0,8","80,9","14,9","0,2"
22/10/2009 10.00,"0,3","4,3","5,0","0,8","79,1","14,9","0,4"
22/10/2009 11.00,"0,2","6,0","6,5","0,8","74,5","14,9","0,4"
22/10/2009 12.00,"0,2","5,1","5,7","0,8","75,5","14,9","0,2"
22/10/2009 13.00,"0,2","2,8","2,9","0,8","81,7","14,9","0,2"
22/10/2009 14.00,"0,2","2,2","2,3","0,8","77,3","14,9","0,2"
22/10/2009 15.00,"0,2","1,5","1,6","0,8","78,0","14,9","0,3"
22/10/2009 16.00,"0,2","3,6","3,8","0,8","72,4","14,9","0,1"
22/10/2009 17.00,"0,2","4,7","4,7","0,8","72,6","14,9","0,3"
22/10/2009 18.00,"0,1","4,7","4,7","0,7","62,9","14,9","0,2"
22/10/2009 19.00,"0,1","5,9","6,1","0,7","52,8","14,9","0,1"
22/10/2009 20.00,"0,3","4,0","4,2","0,7","54,3","14,9","0,1"
22/10/2009 21.00,"0,2","10,0","10,4","0,7","44,2","14,9","0,0"
22/10/2009 22.00,"0,1","4,3","4,4","0,7","60,0","14,9","0,3"
22/10/2009 23.00,"0,1","2,0","2,0","0,7","67,4","14,9","0,3"
23/10/2009 0.00,"0,1","1,1","1,1","0,7","70,8","14,9",
23/10/2009 1.00,,,,"0,7","68,8","42,2",
23/10/2009 2.00,"0,6",,,"0,8","74,9","42,2",
23/10/2009 3.00,"0,7","6,8","7,0",,,"42,2",
23/10/2009 4.00,"0,5","1,6","1,6",,,"42,2",
23/10/2009 5.00,"0,3","1,6","1,7",,"83,6","42,2",
23/10/2009 6.00,"0,5","0,6","0,6",,"86,7","42,2",
23/10/2009 7.00,"0,8","1,2","1,2",,"85,8","42,2",
23/10/2009 8.00,"0,8","1,3","1,3",,"84,9","42,2",
23/10/2009 9.00,"0,5","0,6","0,7",,"85,4","42,2",
23/10/2009 10.00,"0,7","0,9","1,0",,"82,2","42,2",
23/10/2009 11.00,"0,7","1,5","1,5",,,"42,2",
23/10/2009 12.00,"0,7","4,2","4,2",,"68,1","42,2",
23/10/2009 13.00,"0,7","2,8","2,8",,"76,9","42,2",
23/10/2009 14.00,"0,6","0,8","0,8",,"84,9","42,2",
23/10/2009 15.00,"0,8",,,,"81,9","42,2",
23/10/2009 16.00,"0,5","0,7","0,7",,"77,9","42,2",
23/10/2009 17.00,"0,6","1,1","1,1",,"80,4","42,2",
23/10/2009 18.00,"0,5","0,4","0,4",,"80,3","42,2",
23/10/2009 19.00,"0,3","0,6","0,6",,"77,5","42,2",
23/10/2009 20.00,"0,6","0,5","0,6",,"75,7","42,2",
23/10/2009 21.00,"0,6","0,7","0,7",,"74,3","42,2",
23/10/2009 22.00,"0,6","0,5","0,5",,"79,2","42,2",
23/10/2009 23.00,"0,6","0,8","0,9",,"84,2","42,2",
24/10/2009 0.00,"1,2","0,3","0,3",,"82,2","42,2",
24/10/2009 1.00,"1,0",,,,"81,0",,
24/10/2009 2.00,"0,8",,,,"86,7",,
24/10/2009 3.00,"0,8",,,,"86,4",,
24/10/2009 4.00,"0,8",,,,"77,3",,
24/10/2009 5.00,"0,8","1,3","1,3",,"64,1",,
24/10/2009 6.00,"0,7","1,5","1,5",,"69,8",,
24/10/2009 7.00,"0,8",,,,"68,5",,
24/10/2009 8.00,"0,6",,,,"70,0",,
24/10/2009 9.00,"0,8","1,4","1,6",,"68,9",,
24/10/2009 10.00,"0,6","1,6","1,9",,"69,6",,
24/10/2009 11.00,"1,1","1,1","1,5",,"70,6",,
24/10/2009 12.00,"0,7","1,3","1,5",,"73,1",,
24/10/2009 13.00,"0,8","1,3","1,3",,"71,7",,
24/10/2009 14.00,"0,7","1,4","1,6",,"72,0",,
24/10/2009 15.00,"0,7",,,,"75,4",,
24/10/2009 16.00,"0,7","0,5","0,6",,"76,8",,
24/10/2009 17.00,"0,8","0,5","0,5",,"80,2",,
24/10/2009 18.00,"0,8","0,7","0,7",,"77,1",,
24/10/2009 19.00,"0,9","0,4","0,4",,"69,9",,
24/10/2009 20.00,"0,7","0,9","0,9",,"68,4",,
24/10/2009 21.00,"0,6","1,1","1,1",,"74,2",,
24/10/2009 22.00,"0,5","6,7","6,8",,"63,8",,
24/10/2009 23.00,"0,6","8,6","8,8",,"67,7",,
25/10/2009 0.00,"0,7","5,7","5,8",,"73,8",,
25/10/2009 1.00,,"4,8","4,9",,"78,5",,
25/10/2009 2.00,"0,9",,,,"75,7",,
25/10/2009 3.00,"0,8","12,6","12,9",,"74,7",,
25/10/2009 4.00,"0,9","4,2","4,2",,,,
25/10/2009 5.00,"0,9","3,9","3,9",,"76,8",,
25/10/2009 6.00,"1,0","3,1","3,1",,"67,9",,
25/10/2009 7.00,"0,8","9,6","9,9",,"48,0",,
25/10/2009 8.00,"0,8","10,9","11,9",,"39,2",,
25/10/2009 9.00,"0,6","6,4","7,4",,"46,1",,
25/10/2009 10.00,"0,8","4,7","5,7",,"57,5",,
25/10/2009 11.00,"0,7","2,1","2,4",,"70,4",,
25/10/2009 12.00,"1,0","3,5","4,4",,"70,4",,
25/10/2009 13.00,"0,7","2,0","2,4",,"79,1",,
25/10/2009 14.00,"0,8","2,6","2,8",,"80,5",,
25/10/2009 15.00,"1,2","2,8","2,9",,"79,4",,
25/10/2009 16.00,"1,6","6,5","7,1",,"76,3",,
25/10/2009 17.00,"1,4","8,9","9,3",,"69,6",,
25/10/2009 18.00,"1,2","7,7","7,9",,"65,6",,
25/10/2009 19.00,"1,2","5,9","6,0",,"68,2",,
25/10/2009 20.00,"1,0","4,0","4,0",,"70,7",,
25/10/2009 21.00,"1,2","2,7","2,7",,"74,4",,
25/10/2009 22.00,"1,1","4,8","4,8",,"74,0",,
25/10/2009 23.00,"1,0","7,7","7,9",,"71,9",,
26/10/2009 0.00,"0,9","4,2","4,4",,"79,4",,
26/10/2009 1.00,"1,0","1,8","1,9",,"81,7",,
26/10/2009 2.00,"1,1","1,6","1,6",,"79,9",,
26/10/2009 3.00,"1,1","1,7","1,8",,"77,8",,
26/10/2009 4.00,"1,4","6,6","6,7",,"68,6",,
26/10/2009 5.00,"1,1","4,4","4,4",,"71,4",,
26/10/2009 6.00,"1,0","2,9","2,9",,"69,6",,
26/10/2009 7.00,"1,0","4,4","4,5",,"63,4",,
26/10/2009 8.00,"1,0","5,5","6,2",,"62,8",,
26/10/2009 9.00,"0,9","5,5","6,4",,"63,6",,
26/10/2009 10.00,"0,8","3,8","4,6",,"69,5",,
26/10/2009 11.00,"1,0","6,9","8,9",,"67,1",,
26/10/2009 12.00,"0,9","4,9","6,0",,"75,9",,
26/10/2009 13.00,"0,9","3,5","4,2",,"83,6",,
26/10/2009 14.00,"1,0","4,3","4,7",,"85,3",,
26/10/2009 15.00,"1,2","4,4","4,9",,"86,3",,
26/10/2009 16.00,"1,1","4,4","4,6",,"86,6",,
26/10/2009 17.00,"1,1","4,5","4,7",,"88,5",,
26/10/2009 18.00,"1,1","4,4","4,4",,"85,7",,
26/10/2009 19.00,"0,9","7,4","7,4",,"79,4",,
26/10/2009 20.00,"1,0","6,7","6,9",,"78,7",,
26/10/2009 21.00,"1,1","5,2","5,3",,"80,4",,
26/10/2009 22.00,"0,9","3,7","3,7",,"82,2",,
26/10/2009 23.00,"1,0","3,0","3,1",,"83,3",,
27/10/2009 0.00,"0,8","3,6","3,6",,"84,8",,
27/10/2009 1.00,,"3,3","3,3",,"85,9",,"1,4"
27/10/2009 2.00,"0,6",,,,"86,4",,"0,9"
27/10/2009 3.00,"0,6","12,8","12,9",,"83,1",,"0,7"
27/10/2009 4.00,"0,3","10,9","11,1",,,,"0,7"
27/10/2009 5.00,"0,4","9,2","9,3",,"67,1",,"0,8"
27/10/2009 6.00,"0,5","4,9","4,9",,"71,8",,"0,8"
27/10/2009 7.00,"0,5","3,9","4,0",,"70,3",,"0,9"
27/10/2009 8.00,"0,5","4,5","4,7",,"68,0",,"0,8"
27/10/2009 9.00,"0,5","5,4","5,6",,"67,2",,"0,8"
27/10/2009 10.00,"0,5","5,4","6,1",,"67,7",,"0,9"
27/10/2009 11.00,"0,5","5,2","6,0",,"69,5",,"1,0"
27/10/2009 12.00,"0,6","5,3","6,2","0,5","74,9",,"0,5"
27/10/2009 13.00,"0,9","3,7","4,0","0,5","82,2",,"1,0"
27/10/2009 14.00,"0,7","5,7","6,3","0,6","84,5",,"1,0"
27/10/2009 15.00,"0,9","5,3","6,1","0,6","91,2",,"0,5"
27/10/2009 16.00,"0,7","3,9","4,3","0,3","90,6",,"0,5"
27/10/2009 17.00,"0,7","3,6","3,6","0,2","88,5",,"0,4"
27/10/2009 18.00,"0,7","3,4","3,5","0,1","82,2",,"1,8"
27/10/2009 19.00,"0,5","3,7","3,7","0,1","82,3",,"2,5"
27/10/2009 20.00,"0,5","1,2","1,2","0,1","84,7",,"3,1"
27/10/2009 21.00,"0,5","1,3","1,3","0,1","85,5",,"1,8"
27/10/2009 22.00,"0,6","3,8","3,8","0,1","82,5",,"2,2"
27/10/2009 23.00,"0,7","8,4","8,4","0,0","68,0",,"1,5"
28/10/2009 0.00,"0,5","12,4","12,5","0,1","63,1",,"1,0"
28/10/2009 1.00,"0,7","11,8","11,8","0,1","60,9",,"1,0"
28/10/2009 2.00,"0,5","10,1","10,3","0,1","60,0",,"0,9"
28/10/2009 3.00,"0,6","9,6","9,7","0,0","55,0",,"0,9"
28/10/2009 4.00,"0,4","10,0","10,1","0,0","53,0",,"0,4"
28/10/2009 5.00,"0,5","10,4","10,4","0,0","51,4",,"0,9"
28/10/2009 6.00,"0,4","10,1","10,2","0,0","49,9",,"0,8"
28/10/2009 7.00,"0,4","6,7","7,1","0,0","51,1",,"0,8"
28/10/2009 8.00,"0,5","5,4","6,0","0,0","54,5",,"0,9"
28/10/2009 9.00,"0,4","6,5","7,6","0,1","56,9",,"0,8"
28/10/2009 10.00,"0,5","5,6","6,9","0,1","64,2",,"0,7"
28/10/2009 11.00,"0,5","5,5","6,8","0,2","70,3",,"1,1"
28/10/2009 12.00,"0,5","3,8","4,7","0,4","77,7",,"1,2"
28/10/2009 13.00,"0,4","3,0","3,6",,"83,2",,"1,1"
28/10/2009 14.00,"0,7","2,0","2,1",,"87,4",,
28/10/2009 15.00,"0,7","2,2","2,4","0,4","89,2",,
28/10/2009 16.00,"0,7","2,6","2,7","0,3","86,3",,
28/10/2009 17.00,"0,8","3,7","3,8","0,3","82,2",,
28/10/2009 18.00,"0,8","5,8","5,8","0,3","75,4",,
28/10/2009 19.00,"0,8","4,0","4,0","0,1","74,7",,"0,8"
28/10/2009 20.00,"0,7","10,0","10,2","0,0","54,1",,"1,5"
28/10/2009 21.00,"0,7","13,8","14,1","0,0","36,4",,"0,9"
28/10/2009 22.00,"0,8","11,0","11,2","0,0","40,0",,"1,0"
28/10/2009 23.00,"0,6","8,9","9,1","0,1","44,8",,"1,1"
29/10/2009 0.00,"0,5","6,2","6,3","0,1","44,4",,"1,0"
29/10/2009 1.00,,"4,5","4,5","0,1","51,2","25,9","1,1"
29/10/2009 2.00,"1,1",,,"0,2","56,0","25,9","0,7"
29/10/2009 3.00,"1,3","20,6","21,0",,"54,7","25,9","0,3"
29/10/2009 4.00,"1,2","7,9","8,1","0,2",,"25,9","0,7"
29/10/2009 5.00,"1,2","5,5","5,6","0,4","55,8","25,9","0,6"
29/10/2009 6.00,"0,8","5,4","5,5","0,3","54,4","25,9","0,6"
29/10/2009 7.00,"1,0","6,9","7,3","0,3","52,9","25,9","0,6"
29/10/2009 8.00,"1,1","10,5","12,0","0,4","50,0","25,9","12,0"
29/10/2009 9.00,"1,1","14,1","17,4","0,5","48,7","25,9","0,3"
29/10/2009 10.00,"1,0","7,2","8,5","0,6","68,3","25,9","0,7"
29/10/2009 11.00,"1,2","5,7","6,6","0,9","73,4","25,9","0,6"
29/10/2009 12.00,"0,9","5,6","6,6","1,0","79,0","25,9","0,7"
29/10/2009 13.00,"1,2","5,8","6,6","1,0","87,5","25,9","0,6"
29/10/2009 14.00,"1,3","5,2","5,9","1,0","94,1","25,9","1,1"
29/10/2009 15.00,"1,6","4,9","5,3","1,1","96,1","25,9","1,1"
29/10/2009 16.00,"2,5","6,3","6,4","1,0","93,5","25,9","1,2"
29/10/2009 17.00,"2,1","5,5","5,6","1,0","84,9","25,9","0,9"
29/10/2009 18.00,"2,3","10,0","10,3","1,0","63,3","25,9","1,2"
29/10/2009 19.00,"1,6","9,3","9,7","0,9","52,6","25,9","1,8"
29/10/2009 20.00,"1,6","17,9","18,6","0,7","45,4","25,9","1,5"
29/10/2009 21.00,"1,7","15,3","15,8","0,6","50,9","25,9","1,6"
29/10/2009 22.00,"1,6","12,0","12,1","0,5","49,3","25,9","1,3"
29/10/2009 23.00,"1,5","11,0","11,3","0,5","46,4","25,9","0,6"
30/10/2009 0.00,"1,7","7,7","7,9","0,6","50,9","25,9","1,5"
30/10/2009 1.00,"1,3","6,5","6,8","0,5","48,1","21,8","1,4"
30/10/2009 2.00,"1,6","5,1","5,1","0,5","46,6","21,8","1,2"
30/10/2009 3.00,"1,5","4,1","4,1","0,6","48,4","21,8","2,0"
30/10/2009 4.00,"1,6","1,5","1,5","0,6","70,9","21,8","3,5"
30/10/2009 5.00,"1,7","0,9","1,1","0,7","69,5","21,8","0,9"
30/10/2009 6.00,"2,1","1,9","1,9","0,6","63,8","21,8","19,2"
30/10/2009 7.00,"1,2","7,7","8,6","0,7","49,6","21,8","18,6"
30/10/2009 8.00,"1,2","8,8","10,0","0,7","49,4","21,8","1,9"
30/10/2009 9.00,"1,7","7,9","9,3","0,7","57,4","21,8","1,7"
30/10/2009 10.00,"1,3","1,7","1,8","0,8","73,9","21,8","2,1"
30/10/2009 11.00,"1,8","2,3","2,7","0,8","72,5","21,8","1,2"
30/10/2009 12.00,"2,5","1,9","1,9","1,1","79,1","21,8","0,9"
30/10/2009 13.00,"4,4","1,8","1,8","1,1","84,0","21,8","0,8"
30/10/2009 14.00,"6,2","2,3","2,5","0,9","86,2","21,8","0,9"
30/10/2009 15.00,"7,0","1,7","1,8","0,8","86,7","21,8","0,8"
30/10/2009 16.00,"5,8","2,0","2,3","0,8","88,7","21,8","0,9"
30/10/2009 17.00,"4,3","2,6","2,7","0,8","86,2","21,8","1,0"
30/10/2009 18.00,"3,5","1,9","2,0","0,8","80,6","21,8","0,8"
30/10/2009 19.00,"2,9","1,8","1,8","0,6","73,4","21,8","0,7"
30/10/2009 20.00,"2,6","2,7","3,1","0,5","52,2","21,8","4,5"
30/10/2009 21.00,"2,6","2,6","2,6","0,6","68,6","21,8","32,2"
30/10/2009 22.00,"2,0","2,2","2,2","0,6","73,4","21,8","2,9"
30/10/2009 23.00,"2,1","2,0","2,0","0,6","75,7","21,8","1,2"
31/10/2009 0.00,"1,9","2,3","2,3","0,5","75,6","21,8","0,9"
31/10/2009 1.00,,"2,1","2,2","0,5","74,3","12,8","0,9"
31/10/2009 2.00,"0,5",,,"0,5","71,2","12,8","0,9"
31/10/2009 3.00,"0,7","20,3","20,4",,"70,9","12,8","1,2"
31/10/2009 4.00,"0,6","8,2","8,2","0,3",,"12,8","1,1"
31/10/2009 5.00,"0,9","5,7","5,7","0,5","68,6","12,8","0,8"
31/10/2009 6.00,"0,9","4,4","4,6","0,5","69,7","12,8","0,8"
