"NetC","Provincia Bari","","","","","","","","","","",""
"Stat","Altamura","","","","","","","","","","",""
Parm,NO2,NOX,CO,O3,PM10,BENZENE
12/01/2012 12.00,"22,39347784","32,4632744","0,48278183","41,3961303","11,23320961","2,57196351"
12/01/2012 13.00,"26,00285584","38,35152696","0,46931326","39,6706548",,"2,33958511"
12/01/2012 14.00,"32,4084956","50,36410672","0,52143653","36,9867813","17,33819962","2,8867545"
12/01/2012 15.00,"26,1144784","37,30290968","0,49416621","40,76960055",,"2,93295274"
12/01/2012 16.00,"30,55773696","40,75546544","0,47873112","37,81540455","12,45421028","2,10570969"
12/01/2012 17.00,"46,86679104","65,35973152","0,63669697","19,87317455",,"3,16272457"
12/01/2012 18.00,"68,11425432","111,77196368","0,96574073","1,55854787","19,04759979","5,19888671"
12/01/2012 19.00,"85,86721256","192,2737792","1,22643977",,,"5,5587125"
12/01/2012 20.00,"79,29932048","152,27646","1,15072176",,"29,30401993","8,18774394"
12/01/2012 21.00,"85,0852428","156,92355688","1,12451159",,,"7,0164264"
12/01/2012 22.00,"72,78205816","121,92921512","0,95783621","5,83002441","31,01342964","6,29344822"
12/01/2012 23.00,"46,88432408","59,31647312","0,74572233","16,87165316",,"5,02923484"
13/01/2012 0.00,"36,37998728","42,15556568","0,58671497","25,44907785","17,58241081","3,58810414"
13/01/2012 1.00,"33,14698648","38,4222136","0,55315249","26,25469875",,"3,08563495"
13/01/2012 2.00,"32,93479272","38,54412272","0,57584203","22,6029909","18,80340958","2,91670312"
13/01/2012 3.00,"18,72829047","21,352738","0,45122431","41,05751895",,"2,23276858"
13/01/2012 4.00,"7,77684968","8,17937157","0,36581233","53,5198251","12,45421028","1,44945077"
13/01/2012 5.00,"6,94296721","7,08342655","0,3481952","53,9226555",,"1,24652165"
