NetC,Regione Puglia,,,
Stat,Capitaneria di Porto,,,
Parm,SO2,NOX,NO,NO2



24/10/2006 23.00,2,123,45,55
25/10/2006 0.00,2,101,34,49
25/10/2006 1.00,,96,33,47
25/10/2006 2.00,2,,,
25/10/2006 3.00,2,,,
25/10/2006 4.00,2,,,
25/10/2006 5.00,2,,,
25/10/2006 6.00,2,,,
25/10/2006 7.00,2,,,
25/10/2006 8.00,3,,,
25/10/2006 9.00,2,,,
25/10/2006 10.00,2,,,
25/10/2006 11.00,2,,,
25/10/2006 12.00,2,,,
25/10/2006 13.00,2,,,
25/10/2006 14.00,2,,,
25/10/2006 16.00,2,,,
25/10/2006 17.00,2,,,
25/10/2006 18.00,2,72,,
25/10/2006 19.00,2,73,19,44
25/10/2006 20.00,2,83,26,45
25/10/2006 21.00,2,80,23,46
25/10/2006 22.00,2,84,24,49
25/10/2006 23.00,2,95,30,50
26/10/2006 0.00,2,97,36,44
26/10/2006 1.00,2,90,31,43
26/10/2006 2.00,2,113,47,43
26/10/2006 3.00,2,103,42,40
26/10/2006 4.00,2,93,36,40
26/10/2006 5.00,1,87,32,38
26/10/2006 6.00,1,88,31,42
26/10/2006 7.00,2,81,26,41
26/10/2006 8.00,2,75,26,36
26/10/2006 9.00,2,89,34,38
26/10/2006 10.00,1,67,20,37
26/10/2006 11.00,2,69,20,39
26/10/2006 12.00,2,73,24,37
26/10/2006 13.00,1,54,9,40
26/10/2006 14.00,1,61,10,47
26/10/2006 15.00,2,71,13,51
26/10/2006 16.00,2,74,14,52
26/10/2006 17.00,2,65,9,52
26/10/2006 18.00,3,71,11,55
26/10/2006 19.00,4,75,14,54
26/10/2006 20.00,3,80,18,53
26/10/2006 21.00,2,95,27,53
26/10/2006 22.00,2,152,61,60
26/10/2006 23.00,3,168,73,59
27/10/2006 0.00,2,156,67,56
27/10/2006 1.00,,91,28,48
27/10/2006 2.00,1,69,15,46
27/10/2006 3.00,1,55,7,44
27/10/2006 4.00,1,67,18,40
27/10/2006 5.00,1,79,28,37
27/10/2006 6.00,1,80,31,34
27/10/2006 7.00,1,77,31,30
27/10/2006 8.00,1,90,39,32
27/10/2006 9.00,1,90,37,34
27/10/2006 10.00,1,91,36,38
27/10/2006 11.00,1,89,31,43
27/10/2006 12.00,1,85,26,46
27/10/2006 13.00,1,86,25,49
27/10/2006 14.00,1,71,14,50
27/10/2006 15.00,1,25,0.00,44
27/10/2006 16.00,1,40,1,47
27/10/2006 17.00,1,54,3,50
27/10/2006 18.00,1,67,10,52
27/10/2006 19.00,1,79,16,55
27/10/2006 20.00,1,83,20,53
27/10/2006 21.00,3,148,60,58
27/10/2006 22.00,3,174,78,57
27/10/2006 23.00,2,150,63,56
28/10/2006 0.00,2,108,41,47
28/10/2006 1.00,1,69,19,41
28/10/2006 2.00,1,62,15,39
28/10/2006 3.00,1,72,23,38
28/10/2006 4.00,1,54,11,37
28/10/2006 5.00,1,65,19,37
28/10/2006 6.00,1,76,27,35
28/10/2006 7.00,2,91,35,38
28/10/2006 8.00,2,131,56,48
28/10/2006 9.00,2,155,69,51
28/10/2006 10.00,3,173,79,54
28/10/2006 11.00,2,110,42,47
28/10/2006 12.00,2,87,27,47
28/10/2006 13.00,1,72,17,46
28/10/2006 14.00,1,65,14,45
28/10/2006 15.00,1,45,4,43
28/10/2006 16.00,1,22,1,41
28/10/2006 17.00,1,61,9,48
28/10/2006 18.00,2,76,15,53
28/10/2006 19.00,1,81,17,55
28/10/2006 20.00,1,102,30,57
28/10/2006 21.00,2,134,48,62
28/10/2006 22.00,1,103,27,62
28/10/2006 23.00,2,124,43,61
29/10/2006 0.00,2,150,57,65
29/10/2006 1.00,,147,57,62
29/10/2006 2.00,1,63,9,54
29/10/2006 3.00,1,76,17,54
29/10/2006 4.00,1,100,34,49
29/10/2006 5.00,1,94,33,44
29/10/2006 6.00,1,95,33,45
29/10/2006 7.00,2,128,53,49
29/10/2006 8.00,2,111,41,49
29/10/2006 9.00,2,128,50,52
29/10/2006 10.00,1,104,37,49
29/10/2006 11.00,1,53,9,46
29/10/2006 12.00,1,17,0.00,44
29/10/2006 13.00,1,27,0.00,45
29/10/2006 14.00,1,49,4,49
29/10/2006 15.00,1,69,11,53
29/10/2006 16.00,1,74,13,55
29/10/2006 17.00,1,78,15,55
29/10/2006 18.00,1,84,16,59
29/10/2006 19.00,2,113,32,65
29/10/2006 20.00,2,182,74,70
29/10/2006 21.00,2,193,83,68
29/10/2006 22.00,2,153,57,68
29/10/2006 23.00,2,111,37,56
30/10/2006 0.00,1,73,17,48
30/10/2006 1.00,1,102,37,46
30/10/2006 2.00,1,57,12,39
30/10/2006 3.00,1,42,4,41
30/10/2006 4.00,1,82,25,45
30/10/2006 5.00,1,19,"0,02594758",41
30/10/2006 6.00,"0,99578131",0.00,0.00,26
30/10/2006 7.00,1,1,0.00,31
30/10/2006 8.00,1,53,7,48
30/10/2006 9.00,1,83,23,49
30/10/2006 10.00,1,54,6,47
30/10/2006 11.00,1,70,14,48
30/10/2006 12.00,1,58,11,48
30/10/2006 13.00,1,33,"0,03027217",46
30/10/2006 14.00,2,40,2,46
30/10/2006 15.00,2,42,2,46
30/10/2006 16.00,1,16,0.00,40
30/10/2006 17.00,1,11,0.00,37
30/10/2006 18.00,2,2,0.00,35
30/10/2006 19.00,2,29,1,43
30/10/2006 20.00,2,11,0.00,41
30/10/2006 21.00,2,9,0.00,39
30/10/2006 22.00,2,59,8,50
30/10/2006 23.00,2,69,12,51
31/10/2006 0.00,2,49,3,49
31/10/2006 1.00,,22,1,40
31/10/2006 2.00,"0,75789179",4,0.00,29
31/10/2006 3.00,"0,86710335",13,0.00,39
31/10/2006 4.00,"0,99858722",42,3,44
31/10/2006 5.00,"0,9596473",53,6,47
31/10/2006 6.00,"0,98037885",14,0.00,40
31/10/2006 7.00,1,27,"0,72652839",44
31/10/2006 8.00,2,111,35,59
31/10/2006 9.00,1,103,30,58
31/10/2006 10.00,2,81,17,54
31/10/2006 11.00,1,53,3,52
31/10/2006 12.00,1,39,0.00,50
31/10/2006 13.00,1,34,0.00,49
31/10/2006 14.00,1,31,"0,89951098",48
31/10/2006 15.00,1,52,2,50
31/10/2006 16.00,"0,97059836",55,3,50
31/10/2006 17.00,1,55,3,52
31/10/2006 18.00,1,95,25,58
31/10/2006 19.00,2,123,41,62
31/10/2006 20.00,2,135,48,63
31/10/2006 21.00,2,136,49,62
31/10/2006 22.00,2,123,42,59
31/10/2006 23.00,1,116,39,57
01/11/2006 0.00,1,113,38,56
01/11/2006 1.00,1,104,36,51
01/11/2006 2.00,1,94,33,44
01/11/2006 3.00,1,85,28,42
01/11/2006 4.00,1,92,32,44
01/11/2006 5.00,1,91,32,43
01/11/2006 6.00,2,122,50,47
01/11/2006 7.00,1,109,42,47
01/11/2006 8.00,2,118,46,49
01/11/2006 9.00,2,149,64,53
01/11/2006 10.00,2,101,35,49
01/11/2006 11.00,1,77,21,46
01/11/2006 12.00,2,70,14,48
01/11/2006 13.00,4,67,10,52
01/11/2006 14.00,1,60,7,50
01/11/2006 15.00,1,31,"0,91248477",47
01/11/2006 16.00,1,54,7,49
01/11/2006 17.00,1,83,19,55
01/11/2006 18.00,1,91,21,60
01/11/2006 19.00,1,125,40,66
01/11/2006 20.00,2,183,78,65
01/11/2006 21.00,2,190,83,65
01/11/2006 22.00,1,141,55,58
01/11/2006 23.00,1,119,43,54
02/11/2006 0.00,1,99,34,47
02/11/2006 1.00,,68,17,43
02/11/2006 2.00,1,28,2,37
02/11/2006 3.00,1,6,0.00,27
02/11/2006 4.00,1,3,0.00,24
02/11/2006 5.00,1,0.00,0.00,18
02/11/2006 6.00,1,0.00,0.00,21
02/11/2006 7.00,1,31,6,34
02/11/2006 8.00,1,67,13,47
02/11/2006 9.00,1,49,5,46
02/11/2006 10.00,1,,,
02/11/2006 11.00,1,,,
02/11/2006 12.00,1,,,
02/11/2006 13.00,1,,,
02/11/2006 14.00,2,,,
02/11/2006 15.00,2,,,
02/11/2006 16.00,1,,,
02/11/2006 17.00,1,,,
02/11/2006 18.00,1,125,19,96
02/11/2006 19.00,2,170,38,114
02/11/2006 20.00,2,227,68,125
02/11/2006 21.00,2,201,53,121
02/11/2006 22.00,2,185,46,116
02/11/2006 23.00,2,188,49,115
03/11/2006 0.00,2,211,62,119
03/11/2006 1.00,2,212,61,120
03/11/2006 2.00,2,202,57,117
03/11/2006 3.00,2,159,34,109
03/11/2006 4.00,2,103,10,90
03/11/2006 5.00,2,139,28,98
03/11/2006 6.00,2,144,28,102
03/11/2006 7.00,2,190,51,113
03/11/2006 8.00,2,239,78,122
03/11/2006 9.00,2,205,59,117
03/11/2006 10.00,2,212,63,117
03/11/2006 11.00,2,187,51,111
03/11/2006 12.00,2,,,
03/11/2006 13.00,2,,,
03/11/2006 14.00,2,,,
03/11/2006 15.00,2,,,
03/11/2006 16.00,2,,,
03/11/2006 18.00,,,,
03/11/2006 20.00,"0,96271763",,,
03/11/2006 21.00,1,191,12,173
03/11/2006 22.00,1,163,7,157
03/11/2006 23.00,1,208,25,171
04/11/2006 0.00,1,54,0.00,85
04/11/2006 1.00,,25,0.00,60
04/11/2006 2.00,1,,,
04/11/2006 3.00,1,13,0.00,50
04/11/2006 4.00,1,77,0.00,99
04/11/2006 5.00,1,106,0.00,125
04/11/2006 6.00,1,118,0.00,131
04/11/2006 7.00,1,133,"0,94708029",138
04/11/2006 8.00,1,200,23,166
04/11/2006 9.00,1,167,12,156
04/11/2006 10.00,1,125,"0,06919354",140
04/11/2006 11.00,1,120,0.00,136
04/11/2006 12.00,1,145,"0,39353574",149
04/11/2006 13.00,1,126,0.00,139
04/11/2006 14.00,1,157,2,156
04/11/2006 15.00,1,101,0.00,123
04/11/2006 16.00,"0,95143401",92,0.00,115
04/11/2006 17.00,1,120,0.00,135
04/11/2006 18.00,1,186,13,167
04/11/2006 19.00,1,218,29,174
04/11/2006 20.00,1,204,23,170
04/11/2006 21.00,1,203,26,165
04/11/2006 22.00,1,157,8,145
04/11/2006 23.00,1,162,15,144
05/11/2006 0.00,1,219,34,168
05/11/2006 1.00,1,103,4,115
05/11/2006 2.00,1,158,10,147
05/11/2006 3.00,1,170,10,155
05/11/2006 4.00,1,127,0.00,138
05/11/2006 5.00,1,110,0.00,130
05/11/2006 6.00,1,68,0.00,98
05/11/2006 7.00,1,55,0.00,87
05/11/2006 8.00,1,53,0.00,87
05/11/2006 9.00,1,47,0.00,82
05/11/2006 10.00,1,43,0.00,76
05/11/2006 11.00,1,27,0.00,63
05/11/2006 12.00,1,21,0.00,56
05/11/2006 13.00,1,32,0.00,66
05/11/2006 14.00,1,47,0.00,80
05/11/2006 15.00,1,12,0.00,47
05/11/2006 16.00,1,11,0.00,47
05/11/2006 17.00,1,61,0.00,91
05/11/2006 18.00,1,231,33,184
05/11/2006 19.00,1,318,81,197
05/11/2006 20.00,1,398,125,211
05/11/2006 21.00,1,393,124,207
05/11/2006 22.00,1,250,48,178
05/11/2006 23.00,1,245,48,173
06/11/2006 0.00,1,237,44,172
06/11/2006 1.00,,136,3,139
06/11/2006 2.00,"0,95339682",,,
06/11/2006 3.00,1,91,0.00,115
06/11/2006 4.00,1,79,0.00,102
06/11/2006 5.00,1,109,0.00,126
06/11/2006 6.00,1,168,7,158
06/11/2006 7.00,1,252,44,186
06/11/2006 8.00,1,326,82,203
06/11/2006 9.00,1,297,71,190
06/11/2006 10.00,1,261,58,175
06/11/2006 11.00,1,93,"0,53624741",117
06/11/2006 12.00,1,52,0.00,85
06/11/2006 13.00,"0,99705053",53,0.00,86
06/11/2006 14.00,1,105,0.00,129
06/11/2006 15.00,"0,93244357",162,"0,47570307",170
06/11/2006 16.00,1,200,9,187
06/11/2006 17.00,1,201,10,186
06/11/2006 18.00,1,261,41,199
06/11/2006 19.00,1,381,103,226
06/11/2006 20.00,1,276,52,199
06/11/2006 21.00,1,262,47,191
06/11/2006 22.00,1,403,123,219
06/11/2006 23.00,1,400,127,210
07/11/2006 0.00,1,394,125,208
07/11/2006 1.00,1,312,80,192
07/11/2006 2.00,"0,94466588",231,39,172
07/11/2006 3.00,"0,98133483",168,14,147
07/11/2006 4.00,"0,97784347",201,30,157
07/11/2006 5.00,"0,91847406",197,24,161
07/11/2006 6.00,1,204,30,159
07/11/2006 7.00,1,295,80,175
07/11/2006 8.00,1,353,117,178
07/11/2006 9.00,1,425,165,178
07/11/2006 10.00,1,371,126,182
07/11/2006 11.00,"0,96736633",239,52,161
07/11/2006 12.00,"0,90101217",204,22,172
07/11/2006 13.00,"0,80148245",201,14,181
07/11/2006 14.00,"0,88180511",207,13,188
07/11/2006 15.00,"0,79624388",221,15,198
07/11/2006 16.00,"0,87132797",253,23,218
07/11/2006 17.00,1,175,48,
07/11/2006 18.00,1,196,17,172
07/11/2006 19.00,1,416,104,260
07/11/2006 20.00,1,509,155,277
07/11/2006 21.00,1,388,103,234
07/11/2006 22.00,1,391,105,233
07/11/2006 23.00,1,366,97,221
08/11/2006 0.00,"0,96387395",302,64,206
08/11/2006 1.00,,285,55,203
08/11/2006 2.00,"0,82494769",,,
08/11/2006 3.00,"0,94383702",271,54,191
08/11/2006 4.00,"0,89079437",255,47,185
08/11/2006 5.00,"0,87067506",269,51,192
08/11/2006 6.00,1,282,63,188
08/11/2006 7.00,1,350,100,200
08/11/2006 8.00,2,642,262,250
08/11/2006 9.00,2,1.038,485,310
08/11/2006 10.00,1,560,226,222
08/11/2006 11.00,"0,93835031",263,57,177
08/11/2006 12.00,"0,82494769",,,
08/11/2006 13.00,"0,99870926",,,
08/11/2006 14.00,1,,,
08/11/2006 15.00,1,,,
08/11/2006 16.00,1,,,
08/11/2006 17.00,1,,,
08/11/2006 18.00,1,,,
08/11/2006 19.00,1,,,
08/11/2006 20.00,1,,,
08/11/2006 21.00,1,,,
08/11/2006 22.00,1,,,
08/11/2006 23.00,1,,,
09/11/2006 0.00,1,,,
09/11/2006 1.00,1,,,
09/11/2006 2.00,"0,95115332",,,
09/11/2006 3.00,1,,,
09/11/2006 4.00,"0,99687967",,,
09/11/2006 5.00,1,,,
09/11/2006 6.00,1,,,
09/11/2006 7.00,1,,,
09/11/2006 8.00,1,,,
09/11/2006 9.00,1,,,
09/11/2006 10.00,1,,,
09/11/2006 11.00,"0,83409357",,,
09/11/2006 12.00,1,24,"0,12108869",26
09/11/2006 13.00,1,22,0.00,25
09/11/2006 14.00,"0,98590523",40,4,36
09/11/2006 15.00,"0,92005956",40,1,41
09/11/2006 16.00,"0,93652072",42,"0,85194042",43
09/11/2006 17.00,"0,94383702",33,"0,01297379",37
09/11/2006 18.00,1,47,"0,35029103",49
09/11/2006 19.00,1,147,44,82
09/11/2006 20.00,1,228,96,85
09/11/2006 21.00,1,169,60,79
09/11/2006 22.00,1,145,46,75
09/11/2006 23.00,1,105,24,69
10/11/2006 0.00,1,113,33,65
10/11/2006 1.00,,97,24,60
10/11/2006 2.00,1,,,
10/11/2006 3.00,1,41,3,37
10/11/2006 4.00,1,29,"0,48867685",29
10/11/2006 5.00,1,26,"0,48435226",25
10/11/2006 6.00,1,32,2,28
10/11/2006 7.00,1,66,16,42
10/11/2006 8.00,1,149,60,59
10/11/2006 9.00,1,238,113,68
10/11/2006 10.00,1,264,129,72
10/11/2006 11.00,1,248,109,85
10/11/2006 12.00,1,117,39,58
10/11/2006 13.00,1,60,6,51
10/11/2006 14.00,1,70,10,56
10/11/2006 15.00,1,69,12,51
10/11/2006 16.00,1,61,9,47
10/11/2006 17.00,1,57,8,45
10/11/2006 18.00,"0,99873265",64,10,49
10/11/2006 19.00,"0,98777244",53,6,45
10/11/2006 20.00,1,80,18,54
10/11/2006 21.00,1,77,16,54
10/11/2006 22.00,1,72,14,51
10/11/2006 23.00,1,97,27,57
11/11/2006 0.00,1,55,6,45
11/11/2006 1.00,1,67,12,49
11/11/2006 2.00,1,45,5,38
11/11/2006 3.00,"0,99873265",30,"0,30704507",31
11/11/2006 4.00,"0,90739791",24,0.00,28
11/11/2006 5.00,"0,91287852",27,0.00,30
11/11/2006 6.00,1,20,0.00,25
11/11/2006 7.00,1,30,"0,51894903",32
11/11/2006 8.00,1,75,20,46
11/11/2006 9.00,1,77,20,48
11/11/2006 10.00,1,52,8,40
11/11/2006 11.00,1,35,4,30
11/11/2006 12.00,"0,98777244",24,1,24
11/11/2006 13.00,1,30,2,28
11/11/2006 14.00,1,23,"0,66598404",24
11/11/2006 15.00,"0,98229284",14,0.00,18
11/11/2006 16.00,"0,98229284",16,1,18
11/11/2006 17.00,"0,98777244",25,"0,01729838",28
11/11/2006 18.00,1,61,10,47
11/11/2006 19.00,1,99,27,58
11/11/2006 20.00,1,132,44,65
11/11/2006 21.00,1,180,74,70
11/11/2006 22.00,1,251,116,78
11/11/2006 23.00,1,163,64,66
12/11/2006 0.00,1,130,48,59
12/11/2006 1.00,,132,51,56
12/11/2006 2.00,1,,,
12/11/2006 3.00,1,74,19,46
12/11/2006 4.00,1,49,7,38
12/11/2006 5.00,"0,93535829",29,"0,22055315",30
12/11/2006 6.00,"0,90098369",25,0.00,29
12/11/2006 7.00,1,32,"0,44975549",33
12/11/2006 8.00,1,43,6,36
12/11/2006 9.00,1,46,7,36
12/11/2006 10.00,1,45,7,35
12/11/2006 11.00,1,60,12,42
12/11/2006 12.00,1,88,22,55
12/11/2006 13.00,1,51,6,42
12/11/2006 14.00,1,39,2,36
12/11/2006 15.00,1,26,"0,63571187",28
12/11/2006 16.00,1,20,"0,00864919",24
12/11/2006 17.00,1,23,"0,16000881",26
12/11/2006 18.00,1,53,8,42
12/11/2006 19.00,1,109,35,57
12/11/2006 20.00,1,120,41,58
12/11/2006 21.00,1,121,46,52
12/11/2006 22.00,1,192,88,60
12/11/2006 23.00,1,225,108,62
13/11/2006 0.00,1,135,58,48
13/11/2006 1.00,1,70,22,37
13/11/2006 2.00,1,69,19,41
13/11/2006 3.00,1,43,6,33
13/11/2006 4.00,1,23,"0,09513987",24
13/11/2006 5.00,"0,97696986",43,3,39
13/11/2006 6.00,"0,94983122",51,5,44
13/11/2006 7.00,"0,97282457",39,1,38
13/11/2006 8.00,1,65,14,44
13/11/2006 9.00,1,146,56,63
13/11/2006 10.00,1,105,31,59
13/11/2006 11.00,"0,86660807",32,2,29
13/11/2006 12.00,"0,75081957",26,"0,71787795",26
13/11/2006 13.00,"0,8376612",26,"0,80437112",27
13/11/2006 14.00,"0,79424039",18,0.00,22
13/11/2006 15.00,"0,78881266",13,0.00,17
13/11/2006 16.00,"0,77072023",,,
13/11/2006 17.00,"0,58437227",,,
13/11/2006 18.00,"0,65674097",,,
13/11/2006 19.00,1,115,39,57
13/11/2006 20.00,1,108,35,56
13/11/2006 21.00,1,116,39,57
13/11/2006 22.00,1,89,24,53
13/11/2006 23.00,1,107,34,56
14/11/2006 0.00,1,73,18,46
14/11/2006 1.00,,44,6,35
14/11/2006 2.00,1,,,
14/11/2006 3.00,1,24,"0,52759822",24
14/11/2006 4.00,1,23,"0,88653595",21
14/11/2006 5.00,1,28,3,23
14/11/2006 6.00,1,37,6,28
14/11/2006 7.00,1,85,29,41
14/11/2006 8.00,1,144,63,50
14/11/2006 9.00,1,195,89,61
14/11/2006 10.00,1,100,34,48
14/11/2006 11.00,1,32,5,24
14/11/2006 12.00,1,30,5,23
14/11/2006 13.00,1,33,5,26
14/11/2006 14.00,1,27,2,23
14/11/2006 15.00,1,27,2,25
14/11/2006 16.00,1,36,3,31
14/11/2006 17.00,1,31,"0,90816017",30
14/11/2006 18.00,1,67,15,44
14/11/2006 19.00,1,193,85,66
14/11/2006 20.00,1,146,59,58
14/11/2006 21.00,1,113,39,55
14/11/2006 22.00,1,123,43,58
14/11/2006 23.00,1,94,27,53
15/11/2006 0.00,1,76,18,50
15/11/2006 1.00,1,51,8,40
15/11/2006 2.00,1,47,7,36
15/11/2006 3.00,1,36,5,29
15/11/2006 4.00,1,27,3,22
15/11/2006 5.00,1,31,5,23
15/11/2006 6.00,1,43,10,29
15/11/2006 7.00,1,82,29,38
15/11/2006 8.00,1,143,62,50
15/11/2006 9.00,1,230,112,62
15/11/2006 10.00,1,160,61,68
15/11/2006 11.00,1,77,23,43
15/11/2006 12.00,1,39,7,29
15/11/2006 13.00,1,28,2,25
15/11/2006 14.00,1,22,"0,51462443",21
15/11/2006 15.00,1,21,"0,10811365",21
15/11/2006 16.00,1,36,3,32
15/11/2006 17.00,1,37,1,35
15/11/2006 18.00,1,36,"0,82166825",35
15/11/2006 19.00,1,113,33,64
15/11/2006 20.00,1,150,50,76
15/11/2006 21.00,1,131,40,71
15/11/2006 22.00,1,81,16,57
15/11/2006 23.00,1,63,9,50
16/11/2006 0.00,1,54,6,45
16/11/2006 1.00,,53,6,44
16/11/2006 2.00,1,,,
16/11/2006 3.00,1,32,3,27
16/11/2006 4.00,1,26,3,22
16/11/2006 5.00,1,29,4,23
16/11/2006 6.00,1,37,6,28
16/11/2006 7.00,1,75,24,39
16/11/2006 8.00,2,173,79,54
16/11/2006 9.00,2,218,105,60
16/11/2006 10.00,1,96,32,48
16/11/2006 11.00,1,49,7,37
16/11/2006 12.00,1,36,5,29
16/11/2006 13.00,1,33,4,27
16/11/2006 14.00,1,37,5,30
16/11/2006 15.00,1,33,4,28
16/11/2006 16.00,1,36,3,32
16/11/2006 17.00,1,47,3,42
16/11/2006 18.00,1,115,28,72
16/11/2006 19.00,2,162,59,74
16/11/2006 20.00,2,147,52,68
16/11/2006 21.00,2,161,63,66
16/11/2006 22.00,2,225,105,68
16/11/2006 23.00,2,207,97,63
17/11/2006 0.00,1,164,70,59
17/11/2006 1.00,1,98,35,45
17/11/2006 2.00,1,72,23,37
17/11/2006 3.00,1,32,4,26
17/11/2006 4.00,1,25,2,23
17/11/2006 5.00,1,25,2,23
17/11/2006 6.00,1,43,10,29
17/11/2006 7.00,1,97,35,44
17/11/2006 8.00,2,181,85,53
17/11/2006 9.00,2,338,176,75
17/11/2006 10.00,2,214,88,82
17/11/2006 11.00,1,72,19,43
17/11/2006 12.00,1,45,9,32
17/11/2006 13.00,1,49,10,34
17/11/2006 14.00,1,40,7,30
17/11/2006 15.00,1,38,5,30
17/11/2006 16.00,1,41,5,34
17/11/2006 17.00,1,37,3,33
17/11/2006 18.00,1,68,12,51
17/11/2006 19.00,1,174,68,72
17/11/2006 20.00,2,207,93,67
17/11/2006 21.00,2,273,134,72
17/11/2006 22.00,2,281,139,73
17/11/2006 23.00,2,212,99,65
18/11/2006 0.00,1,127,50,52
18/11/2006 1.00,,118,44,52
18/11/2006 2.00,1,,,
18/11/2006 3.00,1,51,11,34
18/11/2006 4.00,1,34,5,26
18/11/2006 5.00,1,29,4,23
18/11/2006 6.00,1,39,7,28
18/11/2006 7.00,2,89,31,42
18/11/2006 8.00,2,161,71,54
18/11/2006 9.00,2,203,94,63
18/11/2006 10.00,2,231,98,84
18/11/2006 11.00,1,77,17,52
18/11/2006 12.00,1,41,7,30
18/11/2006 13.00,1,34,6,26
18/11/2006 14.00,1,26,3,21
18/11/2006 15.00,1,33,4,27
18/11/2006 16.00,2,24,1,21
18/11/2006 17.00,2,46,8,35
18/11/2006 18.00,2,138,50,63
18/11/2006 19.00,2,177,72,69
18/11/2006 20.00,2,162,64,65
18/11/2006 21.00,2,165,67,65
18/11/2006 22.00,2,161,64,64
18/11/2006 23.00,2,230,107,69
19/11/2006 0.00,2,174,75,62
19/11/2006 1.00,2,153,64,57
19/11/2006 2.00,2,147,63,52
19/11/2006 3.00,2,72,23,37
19/11/2006 4.00,2,56,16,32
19/11/2006 5.00,1,48,11,31
19/11/2006 6.00,2,50,12,33
19/11/2006 7.00,2,90,31,44
19/11/2006 8.00,2,92,34,41
19/11/2006 9.00,2,128,56,44
19/11/2006 10.00,2,94,28,52
19/11/2006 11.00,1,54,8,41
19/11/2006 12.00,1,30,3,25
19/11/2006 13.00,1,24,1,22
19/11/2006 14.00,1,25,2,23
19/11/2006 15.00,1,18,"0,15568421",18
19/11/2006 16.00,1,16,0.00,16
19/11/2006 17.00,1,22,"0,12108869",22
19/11/2006 18.00,1,51,7,40
19/11/2006 19.00,2,113,36,60
19/11/2006 20.00,2,109,34,58
19/11/2006 21.00,2,122,43,57
19/11/2006 22.00,2,124,45,56
19/11/2006 23.00,2,79,21,48
20/11/2006 0.00,1,57,11,41
20/11/2006 1.00,,49,8,37
20/11/2006 2.00,1,,,
20/11/2006 3.00,1,32,4,26
20/11/2006 4.00,1,26,3,22
20/11/2006 5.00,1,27,4,21
20/11/2006 6.00,1,32,6,23
20/11/2006 7.00,1,58,16,34
20/11/2006 8.00,2,121,53,42
20/11/2006 9.00,2,160,71,54
20/11/2006 10.00,1,136,52,59
20/11/2006 11.00,1,58,10,43
20/11/2006 12.00,1,28,2,24
20/11/2006 13.00,1,28,3,23
20/11/2006 14.00,1,26,2,23
20/11/2006 15.00,1,33,4,28
20/11/2006 16.00,1,60,9,46
20/11/2006 17.00,1,67,11,50
20/11/2006 18.00,1,127,42,65
20/11/2006 19.00,2,243,114,71
20/11/2006 20.00,2,247,122,63
20/11/2006 21.00,2,179,80,59
20/11/2006 22.00,1,107,34,56
20/11/2006 23.00,1,114,39,55
21/11/2006 0.00,2,120,46,51
21/11/2006 1.00,1,75,22,42
21/11/2006 2.00,1,39,7,29
21/11/2006 3.00,1,35,6,26
21/11/2006 4.00,1,27,4,22
21/11/2006 5.00,1,26,3,21
21/11/2006 6.00,1,26,3,22
21/11/2006 7.00,1,30,2,27
21/11/2006 8.00,1,43,5,35
21/11/2006 9.00,1,67,16,43
21/11/2006 10.00,1,79,20,49
21/11/2006 11.00,1,48,9,35
21/11/2006 12.00,1,42,5,33
21/11/2006 13.00,1,37,3,32
21/11/2006 14.00,1,25,"0,40650953",25
21/11/2006 15.00,"0,92620122",22,"0,23785153",22
21/11/2006 16.00,"0,89655364",18,"0,13406123",19
21/11/2006 17.00,1,28,1,26
21/11/2006 18.00,1,56,12,38
21/11/2006 19.00,1,120,45,54
21/11/2006 20.00,2,162,71,56
21/11/2006 21.00,2,203,96,59
21/11/2006 22.00,2,163,70,58
21/11/2006 23.00,2,129,52,51
22/11/2006 0.00,1,97,36,43
22/11/2006 1.00,,72,23,38
22/11/2006 2.00,"0,94963595",,,
22/11/2006 3.00,"0,96786568",38,8,25
22/11/2006 4.00,"0,95295036",27,4,21
22/11/2006 5.00,"0,90820236",21,"0,81301906",19
22/11/2006 6.00,"0,97780991",26,2,23
22/11/2006 7.00,1,59,13,40
22/11/2006 8.00,1,143,59,55
22/11/2006 10.00,,,,
22/11/2006 11.00,1,219,100,69
22/11/2006 12.00,1,178,74,67
22/11/2006 13.00,1,87,25,49
22/11/2006 14.00,1,68,18,41
22/11/2006 15.00,1,46,5,38
22/11/2006 16.00,1,44,4,38
22/11/2006 17.00,1,44,4,38
22/11/2006 18.00,1,61,10,46
22/11/2006 19.00,1,101,29,57
22/11/2006 20.00,1,80,19,52
22/11/2006 21.00,1,81,20,51
22/11/2006 22.00,1,94,27,54
22/11/2006 23.00,1,83,24,47
23/11/2006 0.00,1,111,41,50
23/11/2006 1.00,1,76,22,43
23/11/2006 2.00,1,53,12,35
23/11/2006 3.00,1,36,6,27
23/11/2006 4.00,1,26,2,22
23/11/2006 5.00,1,20,"0,08649067",20
23/11/2006 6.00,1,22,"0,0043246",22
23/11/2006 7.00,1,21,"0,07351813",22
23/11/2006 8.00,1,33,4,27
23/11/2006 9.00,1,74,23,39
23/11/2006 10.00,1,62,17,37
23/11/2006 11.00,1,60,15,37
23/11/2006 12.00,"0,92809081",47,7,36
23/11/2006 13.00,1,39,4,33
23/11/2006 14.00,1,45,7,35
23/11/2006 15.00,1,43,7,33
23/11/2006 16.00,"0,94797824",30,3,25
